,Distance from Maumee Inlet (km),Shore Distance (euc dis),CTD Temperature (°C)_2wks,CTD Temperature (°C)_4wks,CTD Temperature (°C)_6wks,CTD Dissolved Oxygen (mg/L)_2wks,CTD Dissolved Oxygen (mg/L)_4wks,CTD Dissolved Oxygen (mg/L)_6wks,Total Phosphorus (µg P/L)_2wks,Total Phosphorus (µg P/L)_4wks,Total Phosphorus (µg P/L)_6wks,Total Dissolved Phosphorus (µg P/L)_2wks,Total Dissolved Phosphorus (µg P/L)_4wks,Total Dissolved Phosphorus (µg P/L)_6wks,Soluble Reactive Phosphorus (µg P/L)_2wks,Soluble Reactive Phosphorus (µg P/L)_4wks,Soluble Reactive Phosphorus (µg P/L)_6wks,Ammonia (µg N/L)_2wks,Ammonia (µg N/L)_4wks,Ammonia (µg N/L)_6wks,Nitrate + Nitrite (mg N/L)_2wks,Nitrate + Nitrite (mg N/L)_4wks,Nitrate + Nitrite (mg N/L)_6wks,N:P Mass Ratio_2wks,N:P Mass Ratio_4wks,N:P Mass Ratio_6wks,Month
705,0.837430751683478,1.4081293290189107,1.1987972857448426,0.4233438999248528,-0.12364939993241257,-2.6827726256781985,-1.3208249045018385,-1.7132468353290096,-1.2483532875564538,-1.492711551569797,-1.6548359559289103,-0.8808940146083661,-1.2547526823354545,-1.1041179597840132,-0.7639105162804527,-0.7195071167263701,-0.36132733118669913,0.33867071219882966,0.649738234704043,0.011066344599764869,0.7164673744042396,-0.25217047731560127,-0.38239985255918535,1.7074253290629777,0.8932863038564556,1.076999099578573,8
706,-1.6327866456715467,-1.5059863587008948,1.2265803450056907,1.0131283429707967,0.09242673049291479,-2.944913586594537,-3.9694315896259,-2.8550513339255357,1.5390000351048063,1.5185437018319443,0.6825784832996473,1.423991162915883,1.9655388708440416,1.450015761597722,1.9290151743710353,1.8938192375849638,1.5265754664823028,1.3910204048259536,1.4419558499749918,1.3625027818761588,1.6380830215220543,1.9135911008208102,1.43301048140551,0.390816945240763,1.0232107240905546,0.8699116196293174,8
707,-0.5967949339362785,0.035209533369243665,1.5499050046196357,1.5129609493349374,0.06903523508874776,-0.7107243108680117,-1.5081002550964808,-1.5878968738484953,0.19609564317886666,1.3878744954308917,0.2752567834999263,0.4620460258767809,1.4311361079942593,0.6362966197996682,0.7530231663980086,1.5238374351727837,0.9580129422530058,0.4358214930842576,1.7097287261690512,0.6211868539269606,1.1383139767078023,1.5714341007027992,0.9224058379578698,0.8623289444896163,0.340010654568588,0.6559423445001671,8
708,-0.0942940844454732,-0.4862991059883577,1.3250407945619347,0.7099058654068235,-0.04563005315115041,0.06850474951378548,-1.6234749579953471,-1.8977221391220191,0.6917223645390014,-0.009531615485705556,-1.30106004182085,1.1859449804746425,0.8958426356766219,-0.7028120853823212,1.1542889757769617,1.0784640185938024,-0.6527239692648468,0.08034505411099747,0.993842482366051,0.2964293078640105,1.5783232946536974,1.126756367280232,0.10822096780522547,1.1201382078927218,1.083948100772249,1.5093752337068433,8
709,0.936804995545167,1.3182469235831424,0.8837390313292959,0.43104147751961835,0.028853438354647144,-1.031078850214316,-1.6555791332105636,0.028210716887323302,-0.8451307021673058,-1.656993003634187,-1.5622420089177733,-1.5065607571758697,-1.3741342172467463,-1.565723812798057,-0.4320665333937413,-0.18677844746330294,-0.8075690718219487,0.6411283523399055,0.5173361444497172,-0.9143811986830132,-0.1343786678481295,-0.16399541627843403,-0.578729781517435,0.46246880395834644,1.1233114078194832,0.6350478955450837,8
710,1.834644126861146,0.019265430831360394,1.0353135834004885,0.6506160192737576,-0.04563005315115041,-0.0840341784690721,-1.2438828449377028,-1.6457170103165482,-0.2150459942372945,-1.7745778256915359,-1.1586555833109224,-1.1832659733338375,-1.0519157289943935,-1.035180734205576,-0.5864424814215029,-0.5174257000190521,-0.20014696060188814,0.2242968602485911,0.3373517221858289,0.08437366129607814,-0.029547924862781766,-0.36375914808602516,-0.5793778288064414,0.32684750361861,0.9241461734734417,0.3147800557477196,8
711,-0.09853633510744363,-0.646750568288445,0.8514384821461038,1.1242979394537609,0.4954796402435775,-2.5530936111003992,-1.5058623845676211,-0.7894932332137944,-0.16515014492207303,0.4542372691817526,-0.6649697029946514,-1.1663746811410716,0.7566323741217278,-0.6466023994752697,-0.40350421424778155,1.0406982044372404,-0.4796899935278847,1.098166614717817,0.6530455713175822,-0.5209255384727993,-0.12011513556699813,1.0539567254901567,0.018829634047383137,-0.11482090109630017,0.6317584344837964,0.5550527675627528,8
712,-0.5958711728578545,0.022506056173873107,1.275572670307912,1.604505165767289,0.9275174724930353,-1.6576720879998053,-0.6852705741660773,-2.65593588341767,-0.08330298417951751,1.2652011415033428,1.180598252088545,-0.5191245824671286,1.5461917692516993,1.322378947552387,-0.23316664126277392,1.629347484873105,1.4353551730883682,0.8273121562163218,1.8220393930530379,0.9606700624976043,0.5805180529208129,1.6407058924269753,1.606438958582959,0.5053655648595431,0.7057777104328107,0.5306116173427662,8
713,0.8322399668783343,1.405703268678734,0.5289695852887044,1.0572941035514112,0.2517531869292209,-2.3248385635775604,-1.8237187621452589,-0.06534296929613505,-1.2593625957814827,-1.1251113654049636,-1.6405758500988064,-0.4709289600400675,-0.8660851199349314,-1.2880450776976555,-0.18953407284840554,-0.5250916551205159,-0.6044935190186167,0.7421913225577742,0.5681802368744098,-0.012815347875668707,0.7389466185584846,0.11609594208787757,-0.3744363015643118,1.7511120559234894,0.9990053314061715,1.073001330348437,8
714,0.9396108768035721,1.3096744462980547,0.6562727041968547,0.7606260950988876,0.196613155400008,-1.2621462518586979,-0.9208380068428468,-0.334827472469936,-0.756088666344062,-1.3353587259638846,-1.6850611530525956,-1.2182823831524128,-1.6118068287845286,-1.35227052816774,-0.5134347367246858,-0.18203469407223685,-0.6405900644249461,0.4276618209643282,0.46818266697923305,-0.07400607398809722,-0.035916065853861076,-0.2995191821026697,-0.5155039499218563,0.40350711277571405,0.7517958628662018,0.8683190280736877,8
