,Site_WE12,Site_WE13,Site_WE14,Site_WE15,Site_WE16,Site_WE2,Site_WE4,Site_WE6,Site_WE8,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,CTD Temperature (°C),CTD Dissolved Oxygen (mg/L),Total Phosphorus (µg P/L),Total Dissolved Phosphorus (µg P/L),Ammonia (µg N/L),Nitrate + Nitrite (mg N/L),N:P Mass Ratio,Distance from Maumee Inlet (km),Shore Distance (euc dis),CTD Temperature (°C)_1wk,CTD Temperature (°C)_2wks,CTD Temperature (°C)_4wks,CTD Temperature (°C)_6wks,CTD Dissolved Oxygen (mg/L)_1wk,CTD Dissolved Oxygen (mg/L)_2wks,CTD Dissolved Oxygen (mg/L)_4wks,CTD Dissolved Oxygen (mg/L)_6wks,Total Dissolved Phosphorus (µg P/L)_1wk,Total Dissolved Phosphorus (µg P/L)_2wks,Total Dissolved Phosphorus (µg P/L)_4wks,Total Dissolved Phosphorus (µg P/L)_6wks,Ammonia (µg N/L)_1wk,Ammonia (µg N/L)_2wks,Ammonia (µg N/L)_4wks,Ammonia (µg N/L)_6wks,Nitrate + Nitrite (mg N/L)_1wk,Nitrate + Nitrite (mg N/L)_2wks,Nitrate + Nitrite (mg N/L)_4wks,Nitrate + Nitrite (mg N/L)_6wks,N:P Mass Ratio_1wk,N:P Mass Ratio_2wks,N:P Mass Ratio_4wks,N:P Mass Ratio_6wks
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.9809989350992279,-1.0957658980341163,0.6778578567212925,0.3577623902275175,0.8207348017491531,0.9868628623453186,0.3369581063490325,-0.6351224812754208,0.0378302961122427,0.9095536738486902,-0.2820170650901344,-0.8711046237839641,-1.1730467603064245,1.817395395734994,1.606855196878915,1.5138890764627508,0.7359702102308355,0.7602137677742282,1.6166567029544323,1.3868686530390344,1.3238147564661313,-0.4925580262897326,0.5803455141109644,0.6162740876135532,0.6532722841549543,1.0496638750684393,1.2007667259139998,0.8329188826934084,1.0232258850468359,0.5006753262181588,0.24333039424798392,0.14575663798515714,0.17898597831342036
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-2.2301451009205655,1.7033395643289244,-1.3025539422064587,-0.48773133797540114,-0.20436932343051997,-0.6382489033562884,0.255271112951845,0.8391501542743933,1.407833288126239,-1.7270099933530418,-1.5572493170602133,-1.0490830205973674,-0.7232702676989381,1.1080501078913925,0.8926062878310717,0.014899354201285655,-0.6041198776904243,0.5203203163527185,-0.5527094996775626,-1.338658832287412,-1.1114727509570852,0.3876494595684484,0.22015465542572568,-1.0959902573067855,-1.549463617085721,-0.7659718199414481,-0.7797147642118751,-0.9923416866529379,-1.5360774435825637,-0.5152371859560088,-0.25964465608205006,-0.005384072678081151,-1.6193553896732145
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.8264312318010425,0.058504395723838726,-0.7316113905377729,-0.54287643266531,-1.0649933136472571,-1.0084272869985114,-0.7063997907519874,-0.1434005981220063,-0.6631644965460513,1.2257107957004623,1.341691249940708,0.661705116797164,1.2683173851402607,0.19924546223735096,-0.1015674791239843,-0.5961578815838168,-1.412280005709163,-0.42533645652254154,-0.6288368878418369,-0.9960693573166982,-0.2887780343572105,-1.1587741744812168,-1.1795420340236387,-1.132813261934571,0.1874791870024228,-0.4591226294931421,-0.5674429479459214,-0.2687130403139364,-0.1026134575174334,-0.062158540061422664,-0.11421133959705361,0.19691962574858524,0.4914034480361505
3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.18687896155186628,1.6551709770701781,-1.0398689210650949,-0.5911661462152227,0.2494311610051886,1.0072079593685677,2.102944182206993,-0.11472796300016934,-0.5664752156136502,-0.47551353542614494,-0.4844848160626867,-0.41410227288650164,-0.28897085298940156,1.5441577096471946,1.458811719261966,1.3117706549359227,1.1877269480844634,-0.6969881793395664,-0.6839543654307423,-0.6938775550346599,-0.7269087688935865,-0.16838947740724644,-0.18511143568100102,-0.23864120331143096,-0.3571953059293752,0.9256549821128781,0.8217606594591407,0.6299546521875826,0.4530184330761182,2.1923871805937614,2.1906491204766665,2.3231182308099116,2.447182130216459
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.01209855859161059,-0.7206280525627805,0.5464967701942461,0.0992128286796316,-0.2474949065343481,-1.384508602539401,-1.6234333682074031,-0.14813529901671188,-0.6508639300583088,0.10428225230458484,0.5060004269709211,0.9712031975181143,1.3326956291332,-0.6006261425995073,-0.3738208953289238,-1.1400475933202827,-1.022479051706081,-0.6902012082225526,-0.9969356847579477,-0.9176589576117361,-0.8036140035271346,-0.7794556100308747,-0.7889291960544547,-0.7951767993593352,-1.0992547537923558,-1.3804069914865895,-1.4247358428098191,-0.973257261361661,-0.7076840131458658,-1.611119872964244,-1.6758663211408455,-0.99903815894862,-0.6830566731736709
5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.3366907355177999,-0.30653358467711417,-0.7554527642094636,0.3577623902275175,1.1491169279443414,0.7598775564548098,1.1963413759848194,0.8819456305608543,-0.5300984649065298,-0.8611073901956906,-1.0814803704932017,-1.204705081366245,-1.0635838959024626,-0.2770978813323491,-0.2964098566688079,-0.3554377029068244,-0.4319346827211344,0.11364101184950057,-0.22238423988369807,-0.8739989486560169,-0.89786648327262,0.8490343850276327,0.4237961268503537,-0.6844870789499263,-0.8213143735220314,0.7320027286825741,0.704719632590056,0.5964540176187189,0.41663757975804494,0.9929017012152979,0.7588458611861799,0.3707568000693,0.18039054914061456
6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.6342335643668064,-0.06245351214288046,0.3051067842579077,-0.6496344119698404,0.6223840806431834,0.3167124482314288,-0.005327072800394694,0.9711194755441953,1.3216286956911807,-1.1121970279697537,-1.2960975238674477,-1.204705081366245,-1.0635838959024626,0.20745737523251895,0.17722536650131424,0.10556006773611218,0.01604769364824157,-0.5386698495451682,-0.4387084788902324,-0.4502626942668298,-0.49431672264357573,0.3860428333016356,0.055717012760330045,0.0013824771374148007,-0.10929339132263118,0.44380552520205174,0.5274908453877416,0.31679762460537836,0.11726277169169882,0.10977011492680598,0.18959799737995756,-0.03389619578517535,-0.26293728705895614
7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-0.15335626521689727,0.30170273400589687,0.4537071691127393,0.5711138876405625,-0.0822958129390467,-1.000606901314574,-1.1597000740073902,-1.6747127724853232,-1.5725062340761045,0.06208618981530547,0.39915374639225587,0.8636079168998654,1.1879723643093754,0.8076849162243819,0.5871287315957449,0.07595624949449514,0.10846047359279926,0.6202980177064027,0.5992016977030002,-0.4733800557065694,-0.6080881310782501,-0.5289815989660127,-0.8943521705539281,0.7519982850772046,-0.7903925071805171,-1.1980088506207356,-0.8483885312595449,-1.5594830300693503,-0.979317818712131,-1.442736557676667,-1.2621579805692702,-1.8510263914692147,-1.5418433002585363
8,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.23134557410303042,-0.06245351214288046,-0.6045762022626762,0.6275044429398338,0.8960771252441742,0.08229805875353681,0.3957435563945302,-0.1098101163357434,-0.7397909314219673,0.05697679461974825,0.06193447725378943,0.09217731638174971,0.08789146902332973,-0.007459577804965439,-0.013746948282460286,-0.04957318332726622,-0.046709115807747136,0.6394093014230453,0.6497588726923845,0.17786550647337854,-0.5677462840104773,0.921294133245592,0.9263660706539458,0.45489506191515566,-0.37196470073503646,0.05987150292516048,0.03143612079636638,-0.20684599653577665,-0.48606932907928013,0.2551730151464907,0.10402202773793262,0.11704345333994028,0.11517398841032397
9,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,-0.32009227192498313,-0.06245351214288046,1.0209763164711867,0.6940214320315348,0.4179035878206859,1.0167186213752104,0.12351379584785716,-0.10410419023254995,-0.39442312731240814,-0.8616784751758322,-1.0960408458367592,-1.2047050813662434,-1.063583895902461,1.048461302155216,0.9878244920071496,0.8754765750742168,0.7640053247492472,0.6878803515179805,0.6810279411172966,0.6537416167873233,0.5827971168907127,0.8760965137919305,1.1198306917868834,1.2431938385103576,1.15092742410281,0.9992768272238964,0.9845829587376574,0.8950301257302138,0.7452253043172328,0.3413089489779778,0.5001056337678234,0.5499980187128789,0.3800834075971923
