,Particulate Microcystin (µg/L)
0,-0.9659121816670956
1,-0.9659121816670956
2,-0.9659121816670956
3,-0.9659121816670956
4,-0.9659121816670956
5,-0.8764589916886985
6,1.687278130921164
7,1.6459218260493256
8,1.8462147502805777
9,-0.1522551556591062
10,1.5104916226040785
11,1.6287148030420238
12,-0.9659121816670956
13,0.9998112974983937
14,0.16673031024879775
15,1.7167364757346246
16,-0.9659121816670956
17,1.682088602916663
18,0.6005440110878095
19,-0.9659121816670956
20,-0.9659121816670956
21,-0.9659121816670956
22,-0.9659121816670956
23,1.8722351866603995
24,0.03442831570787223
25,-0.9659121816670956
26,0.34514219174670424
27,-0.47992547299149174
28,-0.9659121816670956
29,-0.9659121816670956
30,1.5196728147398473
31,0.6430734534579716
32,-0.9659121816670956
33,-0.7366074205794252
34,1.5675401274970675
35,-0.37324149553141095
36,1.7132037751821272
37,-0.9659121816670956
38,0.6637509418203775
39,0.07583851087048214
40,-0.9659121816670956
41,1.777296319484993
42,1.8052369865418685
43,1.6316816052615182
44,0.9667362630123102
45,1.7176781558535306
46,0.8883428700129286
47,1.6863556739509054
48,-0.9659121816670956
49,-0.9659121816670956
50,0.28066612954100806
51,1.3187169267930354
52,0.3392798848484292
53,-0.9659121816670956
54,-0.6983499503146039
55,1.502253085408228
56,-0.670593014672462
57,-0.9659121816670956
58,-0.9659121816670956
59,1.9252181802078085
60,1.1431593639649171
61,1.7653333691480746
62,-0.3991527318103934
63,-0.8611583978806502
64,1.7887563360067227
65,-0.9659121816670956
66,0.2722947786147425
67,1.8797659836500116
68,-0.37324149553141095
69,1.206040457136184
70,1.6682785138803982
71,0.9528462640351731
72,-0.9659121816670956
73,0.0023323634577309257
74,0.2287897645726153
75,1.0101108135796373
76,-0.5833034634755696
77,0.7354580722061482
78,-0.09673753302686752
79,-0.9659121816670956
80,0.028148072416112606
81,-0.21445116316057106
82,-0.9022778080714351
83,-0.9659121816670956
84,1.6611604799744415
85,0.9467896404034749
86,1.6677250610659204
87,0.05532684416233507
88,-0.37324149553141095
89,1.1814721164954702
90,1.275249902929863
91,-0.9659121816670956
92,-0.37324149553141095
93,0.4270975541456404
94,1.0359161603143219
95,-0.9659121816670956
96,1.7389418948287516
97,0.6005440110878095
98,1.089656611976107
99,-0.8560895689836832
100,-0.37324149553141095
101,1.407019708937247
102,1.192658706254252
103,-0.28800243339790127
104,0.38143699068041287
105,0.29514507988815347
106,1.9124464963979513
107,-0.9659121816670956
108,1.7402860024453866
109,0.872810057267798
110,1.3696606309742503
111,0.2574708755366967
112,-0.9659121816670956
113,-0.32994183910467184
114,-0.9659121816670956
115,1.7209206544285496
116,0.9511222347299433
117,-0.9659121816670956
118,-0.9659121816670956
119,1.6576572938688692
120,-0.8080884871926337
121,1.1025637210394326
122,0.11083301474604818
123,0.6400533064877152
124,1.4961698162055235
125,1.3048818675974705
126,-0.821040012675393
127,1.0548376486132325
128,-0.4615700492752466
129,-0.9659121816670956
130,1.8059644602084053
131,0.06563040053360561
132,1.389556582414872
133,-0.7202466247471238
134,1.6085061710106443
135,-0.89552632283414
136,-0.9659121816670956
137,-0.9659121816670956
138,1.7070003061951733
139,-0.37324149553141095
140,1.7236355103021006
141,-0.3064781267859347
142,-0.6460951717158603
143,-0.9444338488182417
144,1.7697798755555503
145,1.7218321139423483
146,0.9025583932802405
147,-0.9659121816670956
148,-0.7531399997116666
149,-0.9101020033652816
150,-0.9659121816670956
151,-0.6323688800917552
152,1.5542870055412643
153,1.7452039946612847
154,1.3630982788332293
155,0.0884663190357744
156,1.5884572105103223
157,-0.790979703782647
158,0.5509012683615723
159,0.4359569869882107
160,1.2736294547133744
161,1.3268302856618757
162,-0.8611583978806502
