,Site_WE12,Site_WE13,Site_WE14,Site_WE15,Site_WE16,Site_WE2,Site_WE4,Site_WE6,Site_WE8,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,CTD Temperature (°C),CTD Dissolved Oxygen (mg/L),Total Phosphorus (µg P/L),Total Dissolved Phosphorus (µg P/L),Ammonia (µg N/L),Nitrate + Nitrite (mg N/L),N:P Mass Ratio,Distance from Maumee Inlet (km),Shore Distance (euc dis),CTD Temperature (°C)_1wk,CTD Temperature (°C)_2wks,CTD Temperature (°C)_4wks,CTD Temperature (°C)_6wks,CTD Dissolved Oxygen (mg/L)_1wk,CTD Dissolved Oxygen (mg/L)_2wks,CTD Dissolved Oxygen (mg/L)_4wks,CTD Dissolved Oxygen (mg/L)_6wks,Total Dissolved Phosphorus (µg P/L)_1wk,Total Dissolved Phosphorus (µg P/L)_2wks,Total Dissolved Phosphorus (µg P/L)_4wks,Total Dissolved Phosphorus (µg P/L)_6wks,Ammonia (µg N/L)_1wk,Ammonia (µg N/L)_2wks,Ammonia (µg N/L)_4wks,Ammonia (µg N/L)_6wks,Nitrate + Nitrite (mg N/L)_1wk,Nitrate + Nitrite (mg N/L)_2wks,Nitrate + Nitrite (mg N/L)_4wks,Nitrate + Nitrite (mg N/L)_6wks,N:P Mass Ratio_1wk,N:P Mass Ratio_2wks,N:P Mass Ratio_4wks,N:P Mass Ratio_6wks
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.01209855859161059,-2.084109837064364,-0.09515029458586415,0.6815903168043358,0.8932058108089377,-1.3405818806488468,-1.4680638184183281,0.8661133816843162,-0.593345842230589,-0.23074387049779713,-0.17012203647258942,0.548028040099436,1.1932598448411975,-2.056613573339203,-0.8297987777778313,-1.0395296505874378,-1.1628846809500732,0.5805617128382393,-0.4325309212298103,-0.9365584023953737,-0.7675474785429613,0.9098356730641336,-0.18479028653244683,-0.1812493277770726,-0.1728568870502749,-0.5486802549231261,-0.5315957755851628,-1.5385928478347155,-1.2424688407472244,-0.6376609511948029,-0.6321243225244224,-1.7867266735480225,-1.1933860065486226
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.20429622602584765,-0.6869618356615069,-1.5826452800145563,-1.1339632831793152,0.2879042122654351,-0.01910393949236942,1.0299609446332656,1.9241660366192483,0.04196274633976247,-0.35810098865728146,-0.17487203074952434,-0.6419423664792694,-0.8493730761821946,-2.1158068384041537,-1.6762889971220587,1.0601757841462718,1.9649904471423474,-0.31750524542926184,0.9414825633347185,0.6867311825310746,-0.5623141433063313,0.48127245213942854,1.3021224435519105,1.0691427511531264,0.3104932069249756,0.17686220139087383,1.073845830777753,1.096707682653946,0.7466178753350855,0.5983014886845088,0.9856866459235223,0.9964279518036792,0.6983819594040244
2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,-1.6621087912997359,0.3903571051792504,1.1455228103757829,1.748228336411002,1.0787998678315056,1.6087316900792838,0.7452457726278647,-0.6363834322610933,0.03058784292509665,-1.825173839189148,-1.9619803835970075,-1.9961257398773231,-1.9006746510607135,1.1080501078913925,1.6592162097773981,1.9959343760936032,1.851977334784798,1.7429103743837377,1.7375063436829494,1.7103510465591876,1.6615033119855325,1.0409695962124654,0.992229016298859,0.9165734970957247,0.8231410217175319,1.5326013958454938,1.4557897743718806,1.3278875822393292,1.2417149520224686,0.4118105705167118,0.0032719549791289633,-0.6608634977860517,-0.9266675259778632
3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.18739038347760867,-2.235607813120096,0.3032564961189969,1.0012617192548108,0.27044581225821096,-0.5950585707673146,-0.7552502698519364,-0.6420941812570357,0.04001069657864764,-0.17911767755459349,-0.2141572932920138,0.7793802282480039,1.2857959280042126,-1.9468320309685874,-1.127185010736947,0.5840311116782556,-0.07204570988495936,0.9696244120932205,0.2702293101041361,-0.7028663068027214,-0.6328805608671786,0.38543369595178667,0.4441308889408569,-0.4348343227131699,-1.0552721388452797,-0.3817971932919569,-0.9940010049950647,-1.5550410717683114,-1.3650526346750942,-0.6686920642957765,-1.20579113781884,-1.8366873707401488,-1.6086866298062141
4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9539495870220451,-0.5619158871710614,0.9153391890052289,0.6805713997401756,0.9581353781576499,1.167497188112284,0.4016247229001014,-0.12239360510803166,-0.5816594885616759,0.8652075888642793,-0.3138339195535263,-0.9072859844172243,-1.0731739844023689,1.8228885057911255,1.1136427331920369,0.5933116867288178,0.5901292378381214,0.3503500992283087,1.3815044085511512,1.4648096230497092,1.5243255918377365,-0.5728549740639567,0.4728779245624726,0.6842607701279407,0.8451785302002246,0.8371612241619666,1.0013632296993835,1.0500257689251526,1.0414283001116713,0.8141143441877372,0.4198141960134272,0.075037176742791,-0.420746437861111
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.354999736741578,0.3903571051792504,0.5623752796539258,0.8278107794067617,0.6055058999648221,-1.3557495923972902,-1.5824042216777212,-0.2776166069463594,-0.9664177492413569,0.5028777236788183,1.0615696651429471,1.2858278949120903,1.5497835072805692,-1.0736096432021465,-0.8996725253288554,-0.33123639918588726,-0.6685869730272302,0.2964855192404962,0.11646396849869635,-1.0055823861857003,-0.6476023032715733,0.04703283808416026,0.7344229902036259,-0.09820413458113794,-1.0109391152871332,-1.4241348516880208,-1.4414120246704725,-1.5594830300693503,-0.8466633587858085,-1.6869172049731267,-1.7018504066096645,-1.836988376443015,-1.2668783374004757
6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.06454126096040563,-1.7354240191583155,1.2300313645240692,0.0739823377409404,-0.9801594760918249,-1.2967747278019093,-1.5915773869448055,-1.5988029763578417,-1.2485887803395428,0.38339331432366536,0.06193447725378943,0.27318947731780996,0.7292987952173708,-1.169872619780855,0.08340944746689022,0.2384674234985063,-0.13598196838616186,0.08470407057378593,-0.2239475077245393,-0.14154363044142929,0.5542325686219011,-1.2407368747777285,-1.09711613555827,-1.8006279907198928,-0.20359079207277647,-1.3902155181393558,-1.0880908684252995,0.23062060052505978,1.0353283943468548,-1.6647610851149233,-1.468853376901339,-0.5277067472924829,0.6005555569329839
7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.7027770691624949,-0.010751821901638483,-0.5052946578309775,-0.5832254509207313,-1.004040886641351,-1.1195303853218923,-0.9923058881761115,0.8616107869371388,-0.5503964828603349,1.1246227613020796,1.1898221583278363,0.661705116797164,1.542890806306542,0.2633313341012459,0.2315295945995427,-0.6959965953682405,-1.63237139657841,-0.5506997732025727,-0.7776935411606049,-1.2292087855507265,-0.9985822192462733,-0.8820758216670023,-0.7429015243832628,-0.005348125900206615,-0.6032092220136099,-0.8229988198456335,-0.702485976112079,-0.30716059358692255,-0.11983525681118246,-0.4611311066395235,-0.0712886322377806,0.6011093561636089,1.0937571211409272
8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.5018390548748541,-0.3166334497474961,0.008431913382158802,-0.6105173364521145,-0.5176963676515434,-1.237466367872458,-1.3383992028283378,0.8434992029946773,1.4130320016407047,0.8841590046300266,0.14035662530493911,0.7070131140446041,0.9856440089005423,0.39654316064126094,-0.7620154549862994,-0.465020702995703,-0.07204570988495936,-1.2920017977375224,-1.3808258927200239,-1.3014122663114283,-0.6257035007702995,-1.4420316808837013,-0.4124232569470933,-0.12763258683963696,0.09174980134179897,-0.87822189874262,-0.46873048867998385,-0.4934617046441902,-0.3214098942887567,-0.4602720415267763,0.35886324387958773,0.6818228977145694,0.3138408982666897
9,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.23134557410303042,-0.06245351214288046,0.12162005351962796,0.14773663691485325,-1.2533964919285725,-0.17044435566187496,-0.30635227862361764,-0.1646423441666437,-0.7442611303309103,0.05697679461974825,0.06193447725378943,0.09217731638174971,0.08789146902332973,-0.007459577804965439,-0.013746948282460286,-0.04957318332726622,-0.046709115807747136,0.7099761337696289,0.23815038019353815,0.2776950585309799,0.5313436090803338,0.15698357867255003,-0.32451304863544855,0.3089680629279201,0.6794021763578076,-1.3473353844997737,-1.256633770418855,-0.7956643659946226,-0.5564531309857308,-1.512942564910275,-1.2486500810332608,-0.5022106317635388,-0.24670173351949323
