,Site,Site ID,Site Type,Collect Date,Collection Time,Sample ID,Parameter,Result,Units,Qual.*,Program,Lab,Lat,Long,Saturation
706,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2020-09-13,00:00,2452292,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
707,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2020-09-07,00:00,2447647,Microcystins,0.537,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
708,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2020-09-07,00:00,2447648,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
709,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2020-08-30,00:00,2444420,Microcystins,1.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
710,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2020-08-30,00:00,2444421,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
711,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2020-08-23,00:00,2440296,Microcystins,2.79,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
712,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2020-08-23,00:00,2440297,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
713,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2020-08-16,00:00,2434721,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
714,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2020-08-16,00:00,2434720,Microcystins,0.664,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
715,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2020-08-09,00:00,2431054,Microcystins,0.734,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
716,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2020-08-09,00:00,2431055,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
717,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2020-08-02,12:00,2426082,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
718,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2020-08-02,12:00,2426083,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
719,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2020-07-29,12:00,2424052,Microcystins,0.0,ug/L,,,ALLOWAY MARION LABORATORY-B,41.689305,-82.817555,False
720,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2020-07-26,12:00,2420783,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
721,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2020-07-26,12:00,2420784,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
722,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2020-07-19,12:00,2416073,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
723,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2020-07-19,12:00,2416074,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
724,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2020-07-12,12:00,2412035,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
725,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2020-07-12,12:00,2412034,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
726,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2020-07-05,12:00,2406112,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
727,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2020-07-05,12:00,2406113,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
728,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2020-06-28,12:00,2403934,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
729,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2020-06-28,12:00,2403933,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
730,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2020-06-21,12:00,2400354,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
731,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2020-06-21,12:00,2400355,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
732,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2020-06-14,00:00,2394951,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
733,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2020-06-14,00:00,2394952,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
734,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2020-06-07,00:00,2390364,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
735,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2020-06-07,00:00,2390363,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
736,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2020-05-31,00:00,2386473,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
737,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2020-05-31,00:00,2386474,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
738,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2020-05-25,00:00,2384030,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
739,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2020-05-25,00:00,2384029,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
740,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2020-05-18,12:00,2380090,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
741,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2020-05-18,12:00,2380091,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
742,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2020-05-17,00:00,2380090,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
743,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2020-05-17,00:00,2380091,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
744,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2020-05-10,00:00,2376632,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
745,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2020-05-10,00:00,2376633,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
746,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2020-05-03,00:00,2372318,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
747,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2020-05-03,00:00,2372319,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
748,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2020-04-26,00:00,2370236,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
749,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2020-04-12,00:00,2364196,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
750,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2020-03-30,00:00,2357600,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
751,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2020-03-15,00:00,2351332,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
752,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2020-03-02,00:00,2344385,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
753,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2020-02-17,00:00,2339186,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
754,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2020-02-03,00:00,2331087,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
755,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2020-01-20,00:00,2325447,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
756,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2020-01-06,00:00,2317836,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
757,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2019-12-23,00:00,2314957,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
758,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2019-12-08,00:00,2307415,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
759,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2019-12-08,00:00,2307415,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
760,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2019-12-08,00:00,2307415,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
761,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2019-11-24,00:00,2300753,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
762,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2019-11-11,00:00,2295594,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
763,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2019-10-27,00:00,2289119,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
764,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2019-10-27,00:00,2289120,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
765,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2019-10-20,00:00,2285678,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
766,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2019-10-20,00:00,2285679,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
767,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2019-10-14,00:00,2281458,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
768,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2019-10-14,00:00,2284107,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
769,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2019-10-06,00:00,2277348,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
770,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2019-10-06,00:00,2277347,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
771,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2019-09-29,00:00,2273862,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
772,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2019-09-29,00:00,2273863,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
773,Lake Erie off Lakeside (Marblehead),303468,Lake Site,2019-09-26,10:02,19092602-12,Microcystins,0.0,ug/L,,DSW-NWDO,DES,41.556748999999996,-82.785072,False
774,Lake Erie @ City of Sandusky WTP Intake,303465,Lake Site,2019-09-24,10:41,19092404-09,Microcystins,0.0,ug/L,,DSW-NWDO,DES,41.459683,-82.64156700000001,False
775,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2019-09-22,00:00,2268455,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
776,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2019-09-22,00:00,2268455,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
777,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2019-09-22,00:00,2268454,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
778,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2019-09-22,00:00,2268454,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
779,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2019-09-22,00:00,2268455,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
780,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2019-09-22,00:00,2268454,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
781,Lake Erie between Toledo/Oregon WTP Intakes,302821,Lake Site,2019-09-19,11:52,19091903-07,Microcystins,0.0,ug/L,,DSW-NWDO,DES,41.6957,-83.2649,False
782,Lake Erie near Crane Reef,303470,Lake Site,2019-09-19,11:11,19091903-13,Microcystins,0.0,ug/L,,DSW-NWDO,DES,41.6607,-83.09234599999999,False
783,Lake Erie Ambient Site - Off Maumee Bay,301258,Lake Site,2019-09-18,10:54,19091804-02,Microcystins,0.0,ug/L,,DSW-NWDO,DES,41.768322999999995,-83.300803,False
784,Lake Erie @ City of Huron WTP Intake,303466,Lake Site,2019-09-17,11:03,19091702-10,Microcystins,0.0,ug/L,,DSW-NWDO,DES,41.405567,-82.55703299999999,False
785,Lake Erie @ City of Vermilion WTP Intake,303467,Lake Site,2019-09-17,10:22,19091702-11,Microcystins,0.0,ug/L,,DSW-NWDO,DES,41.428333,-82.365033,False
786,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2019-09-15,00:00,2263603,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
787,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2019-09-15,00:00,2263603,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
788,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2019-09-15,00:00,2263602,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
789,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2019-09-15,00:00,2263602,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
790,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2019-09-15,00:00,2263602,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
791,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2019-09-15,00:00,2263603,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
792,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2019-09-08,00:00,2258680,Microcystins,0.34,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
793,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2019-09-08,00:00,2258681,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
794,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2019-09-02,00:00,2261813,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
795,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2019-09-02,00:00,2261812,Microcystins,0.89,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
796,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2019-09-02,00:00,2253290,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
797,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2019-09-02,00:00,2253289,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
798,Lake Erie off Lakeside (Marblehead),303468,Lake Site,2019-08-29,11:09,19082904-12,Microcystins,0.808,ug/L,,DSW-NWDO,DES,41.556748999999996,-82.785072,False
799,Lake Erie North of Port Clinton,302502,Lake Site,2019-08-29,10:25,19082904-06,Microcystins,1.02,ug/L,,DSW-NWDO,DES,41.557817,-82.93635,False
800,Lake Erie between Toledo/Oregon WTP Intakes,302821,Lake Site,2019-08-28,11:43,19082802-07,Microcystins,3.2,ug/L,,DSW-NWDO,DES,41.6957,-83.2649,False
801,Lake Erie near Crane Reef,303470,Lake Site,2019-08-28,10:35,19082802-13,Microcystins,4.9,ug/L,,DSW-NWDO,DES,41.6607,-83.09234599999999,False
802,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2019-08-25,00:00,2261805,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
803,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2019-08-25,00:00,2261804,Microcystins,3.98,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
804,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2019-08-25,00:00,2250830,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
805,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2019-08-25,00:00,2250831,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
806,Lake Erie Ambient Site - Off Maumee Bay,301258,Lake Site,2019-08-22,10:58,19082202-02,Microcystins,1.55,ug/L,,DSW-NWDO,DES,41.768322999999995,-83.300803,False
807,Lake Erie @ City of Huron WTP Intake,303466,Lake Site,2019-08-21,12:07,19082102-10,Microcystins,0.0,ug/L,,DSW-NWDO,DES,41.405567,-82.55703299999999,False
808,Lake Erie @ City of Sandusky WTP Intake,303465,Lake Site,2019-08-21,11:30,19082102-09,Microcystins,0.0,ug/L,,DSW-NWDO,DES,41.459683,-82.64156700000001,False
809,Lake Erie @ City of Vermilion WTP Intake,303467,Lake Site,2019-08-21,10:06,19082102-11,Microcystins,0.469,ug/L,,DSW-NWDO,DES,41.428333,-82.365033,False
810,Lake Erie North of Port Clinton,302502,Lake Site,2019-08-20,11:09,19082002-06,Microcystins,7.32,ug/L,,DSW-NWDO,DES,41.557817,-82.93635,False
811,Lake Erie off Lakeside (Marblehead),303468,Lake Site,2019-08-20,10:38,19082002-12,Microcystins,0.536,ug/L,,DSW-NWDO,DES,41.556748999999996,-82.785072,False
812,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2019-08-19,00:00,2258673,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
813,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2019-08-19,00:00,2258672,Microcystins,1.72,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
814,Lake Erie Ambient Site - Off Maumee Bay,301258,Lake Site,2019-08-14,11:07,19081402-02,Microcystins,4.48,ug/L,,DSW-NWDO,DES,41.768322999999995,-83.300803,False
815,Lake Erie @ City of Huron WTP Intake,303466,Lake Site,2019-08-13,11:07,19081302-10,Microcystins,0.0,ug/L,,DSW-NWDO,DES,41.405567,-82.55703299999999,False
816,Lake Erie @ City of Sandusky WTP Intake,303465,Lake Site,2019-08-13,10:42,19081302-09,Microcystins,0.0,ug/L,,DSW-NWDO,DES,41.459683,-82.64156700000001,False
817,Lake Erie @ City of Vermilion WTP Intake,303467,Lake Site,2019-08-13,10:00,19081302-11,Microcystins,0.0,ug/L,,DSW-NWDO,DES,41.428333,-82.365033,False
818,Lake Erie off Lakeside (Marblehead),303468,Lake Site,2019-08-12,10:12,19081202-12,Microcystins,0.39,ug/L,,DSW-NWDO,DES,41.556748999999996,-82.785072,False
819,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2019-08-12,00:00,2258665,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
820,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2019-08-12,00:00,2258664,Microcystins,0.31,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
821,Lake Erie Ambient Site - Off Maumee Bay,301258,Lake Site,2019-08-08,10:35,19080803-02,Microcystins,3.84,ug/L,,DSW-NWDO,DES,41.768322999999995,-83.300803,False
822,Lake Erie between Toledo/Oregon WTP Intakes,302821,Lake Site,2019-08-08,09:51,19080803-07,Microcystins,8.14,ug/L,,DSW-NWDO,DES,41.6957,-83.2649,False
823,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2019-08-04,00:00,2235675,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
824,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2019-08-04,00:00,2235676,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
825,Lake Erie @ City of Vermilion WTP Intake,303467,Lake Site,2019-07-30,11:29,19073002-11,Microcystins,0.0,ug/L,,DSW-NWDO,DES,41.428333,-82.365033,False
826,Lake Erie @ City of Sandusky WTP Intake,303465,Lake Site,2019-07-30,10:43,19073002-09,Microcystins,0.0,ug/L,,DSW-NWDO,DES,41.459683,-82.64156700000001,False
827,Lake Erie @ City of Huron WTP Intake,303466,Lake Site,2019-07-30,10:16,19073002-10,Microcystins,0.0,ug/L,,DSW-NWDO,DES,41.405567,-82.55703299999999,False
828,Lake Erie off Lakeside (Marblehead),303468,Lake Site,2019-07-29,11:02,19072902-12,Microcystins,0.0,ug/L,,DSW-NWDO,DES,41.556748999999996,-82.785072,False
829,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2019-07-29,00:00,2233094,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
830,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2019-07-29,00:00,2233093,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
831,Lake Erie between Toledo/Oregon WTP Intakes,302821,Lake Site,2019-07-25,11:29,19072503-07,Microcystins,4.2,ug/L,,DSW-NWDO,DES,41.6957,-83.2649,False
832,Lake Erie near Crane Reef,303470,Lake Site,2019-07-25,10:40,19072503-13,Microcystins,0.447,ug/L,,DSW-NWDO,DES,41.6607,-83.09234599999999,False
833,Lake Erie Ambient Site - Off Maumee Bay,301258,Lake Site,2019-07-24,10:15,19072402-02,Microcystins,4.14,ug/L,,DSW-NWDO,DES,41.768322999999995,-83.300803,False
834,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2019-07-21,00:00,2229515,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
835,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2019-07-21,00:00,2229516,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
836,Lake Erie Ambient Site - Off Maumee Bay,301258,Lake Site,2019-07-17,11:07,19071702-02,Microcystins,1.67,ug/L,,DSW-NWDO,DES,41.768322999999995,-83.300803,False
837,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2019-07-14,00:00,2224916,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
838,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2019-07-14,00:00,2224915,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
839,Lake Erie between Toledo/Oregon WTP Intakes,302821,Lake Site,2019-07-11,11:15,19071102-07,Microcystins,0.0,ug/L,,DSW-NWDO,DES,41.6957,-83.2649,False
840,Lake Erie near Crane Reef,303470,Lake Site,2019-07-11,10:10,19071102-13,Microcystins,0.0,ug/L,,DSW-NWDO,DES,41.6607,-83.09234599999999,False
841,Lake Erie Ambient Site - Off Maumee Bay,301258,Lake Site,2019-07-10,10:56,19071002-02,Microcystins,0.0,ug/L,,DSW-NWDO,DES,41.768322999999995,-83.300803,False
842,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2019-07-08,00:00,2219395,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
843,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2019-07-08,00:00,2219394,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
