timestamp,wind_speed_max,wind_speed_max_flags,wind_speed_mean,wind_speed_mean_flags,wind_direction_mean,wind_direction_mean_flags,air_temp,air_temp_flags,barometric_pressure,barometric_pressure_flags,depth,depth_flags,water_temperature,water_temperature_flags,specific_conductivity,specific_conductivity_flags,pH,pH_flags,turbidity,turbidity_flags,organic_dissolved_oxygen_saturation,organic_dissolved_oxygen_saturation_flags,organic_dissolved_oxygen,organic_dissolved_oxygen_flags,chlorophylla,chlorophylla_flags,phycocyanin,phycocyanin_flags,flourescent_dissolved_organic_matter,flourescent_dissolved_organic_matter_flags,turbidity_c6,turbidty_c6_flags,phycoerythrin_c6,phycoerythrin_c6_flags,phycocyanin_c6,phycocyanin_c6_flags,chlorophylla_c6,chlorophylla_c6_flags,colored_dissolved_organic_matter_c6,colored_dissolved_organic_matter_c6_flags,depth_c6,depth_c6_flags,water_temp_c6,water_temp_c6_flags
UTC,meters per second,NAN,meters per second,NAN,degrees,NAN,degrees Celsius,NAN,mbar,NAN,meters,NAN,degrees Celsius,NAN,millisiemens per centimeter,NAN,pH,NAN,NTU,NAN,%,NAN,milligrams per liter,NAN,RFU,NAN,RFU,NAN,RFU,NAN,NTU,NAN,RFU,NAN,RFU,NAN,RFU,NAN,ppb,NAN,meters,NAN,degrees Celsius,NAN
data logger,Airmar WS-200WX,NAN,Airmar WS-200WX,NAN,Airmar WS-200WX,NAN,Airmar WS-200WX,NAN,Airmar WS-200WX,NAN,YSI EXO2,NAN,YSI EXO2,NAN,YSI EXO2,NAN,YSI EXO2,NAN,YSI EXO2,NAN,YSI EXO2,NAN,YSI EXO2,NAN,YSI EXO2,NAN,YSI EXO2,NAN,YSI EXO2,NAN,Turner C-6,NAN,Turner C-6,NAN,Turner C-6,NAN,Turner C-6,NAN,Turner C-6,NAN,Turner C-6,NAN,Turner C-6,NAN
6/2/2015 15:46,7.6,1 1 1 1,5.12,1 1 1 1,57.14,1 2 1 2,13.56,1 1 1 1,1023,1 1 1 1,1.037,1 1 1 1,18.09,1 1 1 1,332,1 1 1 1,8.11,1 1 1 1,16.03,1 1 1 1,92.5,1 1 1 1,8.73,1 1 1 1,0.487,1 1 1 1,-2.501,4 1 1 1,4.618,1 1 1 1,16.3,1 1 1 1,251.6,1 1 1 1,39.84,1 1 1 1,439.16,1 1 1 1,479.92,1 1 1 1,1.09,1 2 2 2,18.52,1 2 2 2
6/2/2015 16:01,7.2,1 1 1 1,5.16,1 1 1 1,61.64,1 2 1 2,13.73,1 1 1 1,1022.957,1 1 1 1,1.04,1 1 1 1,18.13,1 1 1 1,334.5,1 1 1 1,8.11,1 1 3 1,15.95,1 1 1 1,92.5,1 1 1 1,8.73,1 1 1 1,0.508,1 1 1 1,-2.515,4 1 1 1,4.804,1 1 1 1,17.94,1 1 1 1,285.84,1 1 1 1,52.04,1 1 1 1,481.8,1 1 1 1,490.96,1 1 1 1,1.09,1 2 2 2,18.59,1 2 2 2
6/2/2015 16:16,8.1,1 1 1 1,5.97,1 1 1 1,68,1 2 1 2,13.86,1 1 1 1,1022.929,1 1 4 1,1.04,1 1 1 1,18.19,1 1 1 1,336.5,1 1 1 1,8.11,1 1 3 1,15.4,1 1 1 1,92.7,1 1 1 1,8.73,1 1 1 1,0.498,1 1 1 1,-2.532,4 1 1 1,4.99,1 1 1 1,15.86,1 1 1 1,269.36,1 1 1 1,46.4,1 1 1 1,410.24,1 1 1 1,491.76,1 1 1 1,1.09,1 2 2 2,18.66,1 2 2 2
6/2/2015 16:31,8.5,1 1 1 1,5.909,1 1 1 1,73.14,1 2 1 2,13.95,1 1 1 1,1023.011,1 1 4 1,1.04,1 1 1 1,18.2,1 1 1 1,341.3,1 1 1 1,8.11,1 1 3 1,15.37,1 1 1 1,92.5,1 1 1 1,8.72,1 1 1 1,0.538,1 1 1 1,-2.468,4 1 1 1,5.42,1 1 1 1,16.15,1 1 1 1,310.8,1 1 1 1,45.92,1 1 1 1,524.4,1 1 1 1,538.72,1 1 1 1,1.09,1 2 2 2,18.62,1 2 2 2
6/2/2015 16:46,8.4,1 1 1 1,5.563,1 1 1 1,72.41,1 2 1 2,14.01,1 1 1 1,1022.976,1 1 4 1,1.037,1 1 1 1,18.23,1 1 1 1,343.4,1 1 1 1,8.12,1 1 1 1,15.12,1 1 1 1,92.7,1 1 1 1,8.72,1 1 1 1,0.539,1 1 1 1,-2.467,4 1 1 1,5.599,1 1 1 1,16.09,1 1 1 1,310.04,1 1 1 1,63.32,1 1 1 1,471.36,1 1 1 1,540.08,1 1 1 1,1.09,1 2 2 2,18.7,1 2 2 2
6/2/2015 17:01,8.3,1 1 1 1,5.737,1 1 1 1,69.83,1 2 1 2,14.09,1 1 1 1,1022.95,1 1 4 1,1.032,1 1 1 1,18.26,1 1 1 1,347.4,1 1 1 1,8.11,1 1 1 1,15.27,1 1 1 1,92.5,1 1 1 1,8.71,1 1 1 1,0.59,1 1 1 1,-2.489,4 1 1 1,5.949,1 1 1 1,16.89,1 1 1 1,239.96,1 1 1 1,42.08,1 1 1 1,504.4,1 1 1 1,543.08,1 1 1 1,1.09,1 2 2 2,18.74,1 2 2 2
6/2/2015 17:16,7.3,1 1 1 1,5.521,1 1 1 1,70.83,1 2 1 2,14.13,1 1 1 1,1022.978,1 1 4 1,1.031,1 1 1 1,18.31,1 1 1 1,344.5,1 1 1 1,8.12,1 1 1 1,15.01,1 1 1 1,92.9,1 1 1 1,8.73,1 1 1 1,0.563,1 1 1 1,-2.556,4 1 1 1,5.654,1 1 1 1,15.12,1 1 1 1,270.24,1 1 1 1,52.96,1 1 1 1,437.32,1 1 1 1,499.28,1 1 1 1,1.09,1 2 2 2,18.74,1 2 2 2
6/2/2015 17:31,7.4,1 1 1 1,5.498,1 1 1 1,75.8,1 2 1 2,14.22,1 1 4 1,1022.833,1 1 1 1,1.03,1 1 1 1,18.34,1 1 1 1,339.8,1 1 1 1,8.12,1 1 3 1,14.97,1 1 1 1,93.4,1 1 1 1,8.78,1 1 1 1,0.519,1 1 1 1,-2.511,4 1 1 1,5.242,1 1 1 1,15.16,1 1 1 1,250.64,1 1 1 1,38.92,1 1 1 1,489.4,1 1 1 1,534.24,1 1 1 1,1.09,1 2 2 2,18.77,1 2 2 2
6/2/2015 17:46,7.7,1 1 1 1,5.473,1 1 1 1,82.3,1 2 1 2,14.14,1 1 4 1,1022.666,1 1 1 1,1.029,1 1 1 1,18.35,1 1 1 1,345,1 1 1 1,8.12,1 1 3 1,15.29,1 1 1 1,93.6,1 1 1 1,8.79,1 1 1 1,0.554,1 1 1 1,-2.469,4 1 1 1,5.658,1 1 1 1,15.26,1 1 1 1,285.48,1 1 1 1,58.8,1 1 1 1,517.2,1 1 1 1,525.44,1 1 1 1,1.09,1 2 2 2,18.85,1 2 2 2
6/2/2015 18:01,7.8,1 1 1 1,5.747,1 1 1 1,84.8,1 2 1 2,14.15,1 1 4 1,1022.492,1 1 1 1,1.03,1 1 1 1,18.42,1 1 1 1,344.6,1 1 1 1,8.12,1 1 3 1,14.77,1 1 1 1,93.9,1 1 1 1,8.8,1 1 1 1,0.557,1 1 1 1,-2.483,4 1 1 1,5.632,1 1 1 1,16.4,1 1 1 1,235.64,1 1 1 1,39.92,1 1 1 1,462.24,1 1 1 1,520.16,1 1 1 1,1.09,1 2 2 2,18.9,1 2 2 2
6/2/2015 18:16,8.2,1 1 1 1,6.023,1 1 1 1,91.4,1 2 1 2,14.15,1 1 4 1,1022.354,1 1 1 1,1.03,1 1 1 1,18.47,1 1 1 1,343.2,1 1 1 1,8.12,1 1 3 1,14.31,1 1 1 1,94.1,1 1 1 1,8.81,1 1 1 1,0.528,1 1 1 1,-2.506,4 1 1 1,5.499,1 1 1 1,16.08,1 1 1 1,0,1 3 1 1,47.28,1 1 1 1,466.6,1 1 1 1,522.48,1 1 1 1,1.09,1 2 2 2,18.92,1 2 2 2
6/2/2015 18:31,8.2,1 1 1 1,6.23,1 1 1 1,92.7,1 2 1 2,14.18,1 1 4 1,1022.111,1 1 1 1,1.029,1 1 1 1,18.5,1 1 1 1,343.1,1 1 1 1,8.13,1 1 1 1,14.34,1 1 1 1,94.2,1 1 1 1,8.82,1 1 1 1,0.534,1 1 1 1,-2.461,4 1 1 1,5.474,1 1 1 1,15.43,1 1 1 1,275.24,1 1 1 1,41.6,1 1 1 1,457.2,1 1 1 1,509.76,1 1 1 1,1.09,1 2 2 2,18.98,1 2 2 2
6/2/2015 18:46,8.5,1 1 1 1,6.251,1 1 1 1,94.6,1 2 1 2,14.34,1 1 1 1,1022.081,1 1 1 1,1.029,1 1 1 1,18.56,1 1 1 1,336.4,1 1 1 1,8.13,1 1 4 1,13.8,1 1 1 1,94.7,1 1 1 1,8.85,1 1 1 1,0.503,1 1 1 1,-2.486,4 1 1 1,4.875,1 1 1 1,14.18,1 1 1 1,266.8,1 1 1 1,18.68,1 1 1 1,313.76,1 1 1 1,423.24,1 1 1 1,1.09,1 2 2 2,19.08,1 2 2 2
6/2/2015 19:01,9.7,1 1 1 1,6.721,1 1 1 1,101,1 2 1 2,14.42,1 1 1 1,1021.939,1 1 1 1,1.027,1 1 1 1,18.63,1 1 1 1,322.2,1 1 1 3,8.13,1 1 4 1,12.81,1 1 1 1,95.5,1 1 1 1,8.92,1 1 1 1,0.378,1 1 1 1,-2.533,4 1 1 1,3.696,1 1 1 1,13.83,1 1 1 1,0,1 3 1 1,33.16,1 1 1 1,406.92,1 1 1 1,445.32,1 1 1 1,0.68,1 2 2 2,18.19,1 2 2 2
6/2/2015 19:16,8.1,1 1 1 1,6.152,1 1 1 1,98.5,1 2 1 2,14.55,1 1 1 1,1021.787,1 1 1 1,1.02,1 1 1 1,18.6,1 1 1 1,328.1,1 1 1 1,8.13,1 1 4 1,13.5,1 1 1 1,95.2,1 1 1 1,8.89,1 1 1 1,0.429,1 1 1 1,-2.525,4 1 1 1,4.203,1 1 1 1,14.41,1 1 1 1,218.04,1 1 1 1,26.6,1 1 1 1,443.4,1 1 1 1,474.72,1 1 1 1,1.09,1 2 2 2,19,1 2 2 2
6/2/2015 19:31,7.9,1 1 1 1,5.866,1 1 1 1,92.2,1 2 1 2,14.7,1 1 1 1,1021.588,1 1 1 1,1.017,1 1 1 1,18.58,1 1 1 1,334.8,1 1 1 1,8.13,1 1 4 1,14.28,1 1 1 1,94.7,1 1 1 1,8.85,1 1 1 1,0.493,1 1 1 1,-2.465,4 1 1 1,4.757,1 1 1 1,15.07,1 1 1 1,260.68,1 1 1 1,42.4,1 1 1 1,526.56,1 1 1 1,497.88,1 1 1 1,1.09,1 2 2 2,19.01,1 2 2 2
6/2/2015 19:46,8,1 1 3 1,5.864,1 1 1 1,86.7,1 2 1 2,14.69,1 1 1 1,1021.524,1 1 1 1,1.012,1 1 1 1,18.58,1 1 1 1,341.2,1 1 1 1,8.13,1 1 4 1,14.74,1 1 1 1,94.5,1 1 1 1,8.84,1 1 1 1,0.55,1 1 1 1,-2.493,4 1 1 1,5.254,1 1 1 1,15.29,1 1 1 1,290.4,1 1 1 1,61.4,1 1 1 1,502,1 1 1 1,521.24,1 1 1 1,1.09,1 2 2 2,19.02,1 2 2 2
6/2/2015 20:01,8.1,1 1 3 1,5.874,1 1 1 1,88.5,1 2 1 2,14.65,1 1 1 1,1021.127,1 1 1 1,1.013,1 1 1 1,18.59,1 1 1 1,346.3,1 1 1 1,8.13,1 1 4 1,14.96,1 1 1 1,94.4,1 1 1 1,8.82,1 1 1 1,0.581,1 1 1 1,-2.488,4 1 1 1,5.672,1 1 1 1,15.58,1 1 1 1,260.72,1 1 1 1,49.04,1 1 1 1,531.68,1 1 1 1,557.64,1 1 1 1,1.09,1 2 2 2,19,1 2 2 2
6/2/2015 20:16,8,1 1 3 1,5.082,1 1 1 1,87,1 2 1 2,14.75,1 1 1 1,1021.07,1 1 1 1,1.018,1 1 1 1,18.58,1 1 1 1,351.8,1 1 1 1,8.13,1 1 4 1,15.67,1 1 1 1,94.3,1 1 1 1,8.81,1 1 1 1,0.596,1 1 1 1,-2.505,4 1 1 1,6.1,1 1 1 1,17.25,1 1 1 1,287.36,1 1 1 1,44.32,1 1 1 1,576.8,1 1 1 1,554.72,1 1 1 1,1.09,1 2 2 2,19.04,1 2 2 2
6/2/2015 20:31,6.9,1 1 1 1,4.41,1 1 1 1,80.7,1 2 1 2,14.94,1 1 1 1,1021.003,1 1 1 1,1.01,1 1 1 1,18.62,1 1 1 1,352.8,1 1 1 1,8.13,1 1 4 1,15.02,1 1 1 1,94.5,1 1 1 1,8.82,1 1 1 1,0.634,1 1 1 1,-2.488,4 1 1 1,6.063,1 1 1 1,18.07,1 1 1 1,307.48,1 1 1 1,56.84,1 1 1 1,595.6,1 1 1 1,551.72,1 1 1 1,1.09,1 2 2 2,19.1,1 2 2 2
6/2/2015 20:46,6.6,1 1 1 1,4.712,1 1 1 1,82.9,1 2 1 2,15.04,1 1 1 1,1020.84,1 1 1 1,1.011,1 1 1 1,18.68,1 1 1 1,354.3,1 1 1 1,8.13,1 1 4 1,15.31,1 1 1 1,94.7,1 1 1 1,8.84,1 1 1 1,0.673,1 1 1 1,-2.461,4 1 1 1,6.151,1 1 1 1,20.02,1 1 1 1,303.32,1 1 1 1,49.64,1 1 1 1,630.8,1 1 1 1,576.32,1 1 1 1,1.09,1 2 2 2,19.11,1 2 2 2
6/2/2015 21:01,6.8,1 1 1 1,5.047,1 1 1 1,88.1,1 2 1 2,15.15,1 1 1 1,1020.715,1 1 1 1,1.01,1 1 1 1,18.72,1 1 1 1,360.8,1 1 1 1,8.13,1 1 4 1,15.99,1 1 1 1,95,1 1 1 1,8.86,1 1 1 1,0.71,1 1 1 1,-2.462,4 1 1 1,6.616,1 1 1 1,18.71,1 1 1 1,331,1 1 1 1,42.92,1 1 1 1,674.4,1 1 1 1,672.4,1 1 1 1,1.09,1 2 2 2,19.18,1 2 2 2
6/2/2015 21:16,8.7,1 1 1 1,5.811,1 1 1 1,90.2,1 2 1 2,15.14,1 1 1 1,1020.663,1 1 1 1,1.01,1 1 1 1,18.77,1 1 1 1,368.2,1 1 1 1,8.14,1 1 1 1,17.11,1 1 1 1,95.3,1 1 1 1,8.87,1 1 1 1,0.749,1 1 1 1,-2.395,4 1 1 1,7.143,1 1 1 1,21.31,1 1 1 1,331.44,1 1 1 1,75.72,1 1 1 1,720,1 1 1 1,656.8,1 1 1 1,1.09,1 2 2 2,19.17,1 2 2 2
6/2/2015 21:31,8.3,1 1 1 1,5.948,1 1 1 1,87.3,1 2 1 2,15.16,1 1 1 1,1020.62,1 1 1 1,1.01,1 1 1 1,18.76,1 1 1 1,365.5,1 1 1 1,8.14,1 1 3 1,19.04,1 1 1 1,95.1,1 1 1 1,8.86,1 1 1 1,0.73,1 1 1 1,-2.389,4 1 1 1,6.948,1 1 1 1,20.13,1 1 1 1,340.08,1 1 1 1,83.76,1 1 1 1,680.4,1 1 1 1,668.8,1 1 1 1,1.09,1 2 2 2,19.12,1 2 2 2
6/2/2015 21:46,8.5,1 1 1 1,5.97,1 1 1 1,85.5,1 2 1 2,15.31,1 1 1 1,1020.572,1 1 1 1,1.011,1 1 1 1,18.7,1 1 1 1,366.8,1 1 1 1,8.14,1 1 3 1,17.81,1 1 1 1,94.9,1 1 1 1,8.85,1 1 1 1,0.765,1 1 1 1,-2.363,4 1 1 1,7.056,1 1 1 1,18.81,1 1 1 1,343.8,1 1 1 1,64.68,1 1 1 1,698.8,1 1 1 1,663.6,1 1 1 1,1.09,1 2 2 2,19.12,1 2 2 2
6/2/2015 22:01,9.2,1 1 1 1,6.34,1 1 1 1,81.1,1 2 1 2,15.38,1 1 1 1,1020.555,1 1 3 1,1.01,1 1 1 1,18.7,1 1 3 1,367.4,1 1 1 1,8.14,1 1 3 1,18.5,1 1 1 1,95.1,1 1 1 1,8.86,1 1 1 1,0.79,1 1 1 1,-2.346,4 1 1 1,7.129,1 1 1 1,19.04,1 1 1 1,336.96,1 1 1 1,68.72,1 1 1 1,756.8,1 1 1 1,680,1 1 1 1,1.09,1 2 2 2,19.12,1 2 2 2
6/2/2015 22:16,8.3,1 1 1 1,6.246,1 1 1 1,82.3,1 2 1 2,15.44,1 1 3 1,1020.56,1 1 3 1,1.01,1 1 1 1,18.7,1 1 3 1,369.9,1 1 1 1,8.14,1 1 3 1,19.1,1 1 1 1,95.1,1 1 1 1,8.87,1 1 1 1,0.824,1 1 1 1,-2.328,4 1 1 1,7.377,1 1 1 1,20.86,1 1 1 1,366.6,1 1 1 1,80.24,1 1 1 1,805.2,1 1 1 1,694,1 1 1 1,1.09,1 2 2 2,19.13,1 2 2 2
6/2/2015 22:31,8.3,1 1 1 1,6.386,1 1 1 1,85.6,1 2 1 2,15.44,1 1 3 1,1020.525,1 1 3 1,1.01,1 1 1 1,18.7,1 1 3 1,372.5,1 1 1 1,8.15,1 1 1 1,21.24,1 1 1 1,95.2,1 1 1 1,8.88,1 1 1 1,0.865,1 1 1 1,-2.265,4 1 1 1,7.67,1 1 1 1,24.64,1 1 1 1,420,1 1 1 1,103.04,1 1 1 1,861.2,1 1 1 1,719.2,1 1 1 1,1.09,1 2 2 2,19.09,1 2 2 2
6/2/2015 22:46,9.3,1 1 1 1,6.576,1 1 1 1,81.9,1 2 1 2,15.42,1 1 3 1,1020.462,1 1 1 1,1.008,1 1 1 1,18.64,1 1 1 1,376.4,1 1 1 1,8.14,1 1 1 1,22.27,1 1 1 1,95,1 1 1 1,8.87,1 1 1 1,0.947,1 1 1 1,-2.235,4 1 1 1,8.08,1 1 1 1,23.83,1 1 1 1,391.8,1 1 1 1,96.56,1 1 1 1,916.8,1 1 1 1,753.6,1 1 1 1,1.09,1 2 2 2,19.03,1 2 2 2
6/2/2015 23:01,9.7,1 1 1 1,7.063,1 1 1 1,82.5,1 2 1 2,15.45,1 1 3 1,1020.332,1 1 1 1,1.003,1 1 1 1,18.58,1 1 1 1,382,1 1 1 1,8.14,1 1 1 1,26.17,1 1 1 1,94.8,1 1 1 1,8.86,1 1 1 1,1.078,1 1 1 1,-2.164,4 1 1 1,8.65,1 1 1 1,28.53,1 1 1 1,456.04,1 1 1 1,131.16,1 1 1 1,1154.4,1 1 1 1,791.6,1 1 1 1,1.09,1 2 2 2,18.97,1 2 2 2
6/2/2015 23:16,10.1,1 1 1 1,7.58,1 1 1 1,75.86,1 2 1 2,15.45,1 1 3 1,1020.356,1 1 1 1,1.007,1 1 1 1,18.52,1 1 1 1,386.2,1 1 1 1,8.15,1 1 1 1,32.53,1 1 1 1,94.8,1 1 1 1,8.87,1 1 1 1,1.28,1 1 1 1,-1.974,4 1 1 1,9.23,1 1 1 1,27.98,1 1 1 1,477.64,1 1 1 1,148,1 1 1 1,1301.2,1 1 1 1,826.8,1 1 1 1,1.09,1 2 2 2,18.87,1 2 2 2
6/2/2015 23:31,10.2,1 1 1 1,7.378,1 1 1 1,78.93,1 2 1 2,15.64,1 1 1 1,1020.367,1 1 1 1,1.003,1 1 1 1,18.44,1 1 1 1,390,1 1 1 1,8.17,1 1 1 1,28.35,1 1 1 1,94.7,1 1 1 1,8.88,1 1 1 1,1.55,1 1 1 1,-1.717,4 1 1 1,9.98,1 1 1 1,30,1 1 1 1,591.6,1 1 1 1,199.12,1 1 1 1,1702.8,1 1 1 1,907.2,1 1 1 1,1.09,1 2 2 2,18.84,1 2 2 2
6/2/2015 23:46,10.1,1 1 1 1,7.394,1 1 1 1,80.5,1 2 1 2,15.6,1 1 1 1,1020.29,1 1 1 1,1.009,1 1 1 1,18.4,1 1 1 1,395.9,1 1 1 1,8.19,1 1 1 1,28.25,1 1 1 1,94.9,1 1 1 1,8.9,1 1 1 1,1.959,1 1 1 1,-1.368,4 1 1 1,11.26,1 1 1 1,36.71,1 1 1 1,662.4,1 1 1 1,244.48,1 1 1 1,1827.6,1 1 1 1,950.8,1 1 1 1,1.09,1 2 2 2,18.77,1 2 2 2
6/3/2015 0:01,10,1 1 1 1,7.473,1 1 1 1,83.3,1 2 1 2,15.66,1 1 1 1,1020.455,1 1 1 1,1.01,1 1 1 1,18.34,1 1 1 1,398.2,1 1 1 1,8.19,1 1 1 1,33.29,1 1 1 1,94.7,1 1 1 1,8.89,1 1 1 1,2.162,1 1 1 1,-1.177,4 1 1 1,12.12,1 1 1 1,34.68,1 1 1 1,668.4,1 1 1 1,254.48,1 1 1 1,1868.4,1 1 1 1,986.8,1 1 1 1,1.09,1 2 2 2,18.67,1 2 2 2
6/3/2015 0:16,10.9,1 1 1 1,7.36,1 1 1 1,75,1 2 1 2,15.54,1 1 1 1,1020.518,1 1 1 1,1.008,1 1 1 1,18.25,1 1 1 1,399.1,1 1 1 1,8.18,1 1 1 1,36.46,1 1 1 1,93.9,1 1 1 1,8.84,1 1 1 1,2.17,1 1 1 1,-1.165,4 1 1 1,12.81,1 1 1 1,37.64,1 1 1 1,693.2,1 1 1 1,263,1 1 1 1,1892,1 1 1 1,1022,1 1 1 1,1.09,1 2 2 2,18.59,1 2 2 2
6/3/2015 0:31,10.2,1 1 1 1,7.59,1 1 1 1,69.38,1 2 1 2,15.39,1 1 1 1,1020.492,1 1 1 1,1.01,1 1 1 1,18.16,1 1 1 1,398.6,1 1 1 1,8.15,1 1 1 1,33.6,1 1 1 1,93,1 1 1 1,8.77,1 1 1 1,2.139,1 1 1 1,-1.14,4 1 1 1,13.17,1 1 1 1,41.81,1 1 1 1,698,1 1 1 1,239.96,1 1 1 1,1804.4,1 1 1 1,1029.6,1 1 1 1,1.02,1 2 2 2,18.53,1 2 2 2
6/3/2015 0:46,10.6,1 1 1 1,7.506,1 1 1 1,69.35,1 2 1 2,15.15,1 1 1 1,1020.453,1 1 1 1,1.009,1 1 1 1,18.11,1 1 1 1,397.2,1 1 1 1,8.14,1 1 1 1,33.57,1 1 1 1,92.3,1 1 1 1,8.71,1 1 1 1,2.067,1 1 1 1,-1.296,4 1 1 1,13.18,1 1 1 1,35.32,1 1 1 1,653.6,1 1 1 1,245.52,1 1 1 1,1786,1 1 1 1,1007.6,1 1 1 1,1.09,1 2 2 2,18.54,1 2 2 2
6/3/2015 1:01,9.5,1 1 1 1,7.162,1 1 1 1,67.33,1 2 1 2,14.94,1 1 1 1,1020.509,1 1 1 1,1.007,1 1 1 1,18.12,1 1 1 1,395.1,1 1 1 1,8.14,1 1 1 1,35.41,1 1 1 1,92.3,1 1 1 1,8.71,1 1 1 1,1.962,1 1 1 1,-1.297,4 1 1 1,12.81,1 1 1 1,35.14,1 1 1 1,638.4,1 1 1 1,211.2,1 1 1 1,1821.6,1 1 1 1,1006.4,1 1 1 1,1.09,1 2 2 2,18.53,1 2 2 2
6/3/2015 1:16,9.5,1 1 1 1,6.82,1 1 1 1,68.07,1 2 1 2,14.8,1 1 1 1,1020.518,1 1 1 1,1.001,1 1 1 1,18.09,1 1 1 1,393,1 1 1 1,8.13,1 1 1 1,33.26,1 1 1 1,91.9,1 1 1 1,8.68,1 1 1 1,1.901,1 1 1 1,-1.399,4 1 1 1,12.57,1 1 1 1,36.71,1 1 1 1,622.8,1 1 1 1,196.4,1 1 1 1,1532,1 1 1 1,956.8,1 1 1 1,1.02,1 2 2 2,18.48,1 2 2 2
6/3/2015 1:31,10.9,1 1 1 1,7.404,1 1 1 1,67.9,1 2 1 2,14.79,1 1 1 1,1020.464,1 1 1 1,1,1 1 1 1,18.07,1 1 1 1,393.7,1 1 1 1,8.09,1 1 1 1,36.24,1 1 1 1,91.1,1 1 1 1,8.6,1 1 1 1,1.976,1 1 1 1,-1.437,4 1 1 1,13.17,1 1 1 1,61.33,1 1 1 1,828,1 1 1 1,293.84,1 1 1 1,2062,1 1 1 1,1235.6,1 1 1 1,1.09,1 2 2 2,18.5,1 2 2 2
6/3/2015 1:46,9.6,1 1 1 1,7.551,1 1 1 1,72.41,1 2 1 2,14.75,1 1 1 1,1020.53,1 1 1 1,1.003,1 1 1 1,18.06,1 1 1 1,402.8,1 1 1 1,8.02,1 1 1 1,48.37,1 1 1 1,88.8,1 1 1 1,8.39,1 1 1 1,2.446,1 1 1 1,-1.168,4 1 1 1,16.22,1 1 1 3,50.98,1 1 1 1,735.2,1 1 1 1,264.92,1 1 1 1,1758.8,1 1 1 1,1120.8,1 1 1 1,1.09,1 2 2 2,18.42,1 2 2 2
6/3/2015 2:01,10.5,1 1 1 1,7.506,1 1 1 1,76.3,1 2 1 2,14.71,1 1 1 1,1020.629,1 1 1 1,1.01,1 1 1 1,18.02,1 1 1 1,399.6,1 1 1 1,8.04,1 1 1 1,49.68,1 1 1 1,89.1,1 1 1 1,8.42,1 1 1 1,2.37,1 1 1 1,-1.246,4 1 1 1,15.3,1 1 1 1,60.56,1 1 1 1,844,1 1 1 1,292.48,1 1 1 1,2211.6,1 1 1 1,1219.2,1 1 1 1,1.02,1 2 2 2,18.5,1 2 2 2
6/3/2015 2:16,9.7,1 1 1 1,7.169,1 1 1 1,77.22,1 2 1 2,14.68,1 1 1 1,1020.791,1 1 1 1,1.011,1 1 1 1,18.09,1 1 1 1,407.7,1 1 1 1,8.05,1 1 1 1,51.43,1 1 1 1,89.9,1 1 1 1,8.49,1 1 1 1,2.67,1 1 1 1,-0.896,4 1 1 1,16.69,1 1 1 1,52.34,1 1 1 1,844.4,1 1 1 1,303.88,1 1 1 1,2419.2,1 1 1 1,1240.8,1 1 1 1,1.02,1 2 2 2,18.51,1 2 2 2
6/3/2015 2:31,10.1,1 1 1 1,7.65,1 1 1 1,78.17,1 2 1 2,14.66,1 1 1 1,1020.929,1 1 1 1,1.01,1 1 1 1,18.1,1 1 1 1,410.3,1 1 1 1,8.05,1 1 1 1,50.57,1 1 1 1,90.2,1 1 1 1,8.51,1 1 1 1,2.925,1 1 1 1,-0.79,4 1 1 1,17.04,1 1 1 1,56.49,1 1 1 1,932.4,1 1 1 1,376.68,1 1 1 1,2742.8,1 1 1 1,1276.4,1 1 1 1,1.09,1 2 2 2,18.56,1 2 2 2
6/3/2015 2:46,10.2,1 1 1 1,7.193,1 1 1 1,72.37,1 2 1 2,14.65,1 1 1 1,1020.907,1 1 1 1,1.012,1 1 1 1,18.14,1 1 1 1,414.2,1 1 1 1,8.06,1 1 1 1,54.37,1 1 1 1,90.7,1 1 1 1,8.55,1 1 1 1,3.037,1 1 1 1,-0.647,4 1 1 1,17.57,1 1 1 1,60.22,1 1 1 1,908.8,1 1 1 1,342.56,1 1 1 1,2366.4,1 1 1 1,1273.6,1 1 1 1,1.09,1 2 2 2,18.55,1 2 2 2
6/3/2015 3:01,10.6,1 1 1 1,8.13,1 1 1 1,77.89,1 2 1 2,14.72,1 1 1 1,1020.869,1 1 1 1,1.01,1 1 1 1,18.14,1 1 1 1,413.5,1 1 1 1,8.07,1 1 1 1,58.57,1 1 1 1,90.9,1 1 1 1,8.57,1 1 1 1,2.961,1 1 1 1,-0.718,4 1 1 1,17.35,1 1 1 1,52.48,1 1 1 1,830,1 1 1 1,300.28,1 1 1 1,2340.8,1 1 1 1,1244.4,1 1 1 1,1.09,1 2 2 2,18.59,1 2 2 2
6/3/2015 3:16,11.5,1 1 1 1,8.52,1 1 1 1,82.4,1 2 1 2,14.76,1 1 3 1,1020.747,1 1 1 1,1.012,1 1 1 1,18.16,1 1 1 1,411.4,1 1 1 1,8.09,1 1 1 1,49.68,1 1 1 1,91.4,1 1 1 1,8.61,1 1 1 1,2.763,1 1 1 1,-0.868,4 1 1 1,16.86,1 1 1 1,59.59,1 1 1 1,832,1 1 1 1,280.32,1 1 1 1,2170.8,1 1 1 1,1217.2,1 1 1 1,1.09,1 2 2 2,18.59,1 2 2 2
