timestamp,wind_speed_max,wind_speed_max_flags,wind_speed_mean,wind_speed_mean_flags,wind_direction_mean,wind_direction_mean_flags,air_temp,air_temp_flags,barometric_pressure,barometric_pressure_flags,depth,depth_flags,water_temperature,water_temperature_flags,specific_conductivity,specific_conductivity_flags,pH,pH_flags,turbidity,turbidity_flags,organic_dissolved_oxygen_saturation,organic_dissolved_oxygen_saturation_flags,organic_dissolved_oxygen,organic_dissolved_oxygen_flags,chlorophylla,chlorophylla_flags,phycocyanin,phycocyanin_flags,flourescent_dissolved_organic_matter,flourescent_dissolved_organic_matter_flags,NO3M_suna,NO3M_suna_flags,NO3_suna,NO3_suna_flags
UTC,meters per second,NAN,meters per second,NAN,degrees,NAN,degrees Celsius,NAN,mbar,NAN,meters,NAN,degrees Celsius,NAN,millisiemens per centimeter,NAN,pH,NAN,NTU,NAN,%,NAN,milligrams per liter,NAN,RFU,NAN,RFU,NAN,RFU,NAN,micromoles per liter,NAN,milligrams per liter,NAN
data logger,Airmar WS-200WX,NAN,Airmar WS-200WX,NAN,Airmar WS-200WX,NAN,Airmar WS-200WX,NAN,Airmar WS-200WX,NAN,YSI EXO2,NAN,YSI EXO2,NAN,YSI EXO2,NAN,YSI EXO2,NAN,YSI EXO2,NAN,YSI EXO2,NAN,YSI EXO2,NAN,YSI EXO2,NAN,YSI EXO2,NAN,YSI EXO2,NAN,Seabird/Satlantic Suna V2,NAN,Seabird/Satlantic Suna V2,NAN
5/3/2018 15:31,6.3,1 1 1 1,4.975,1 1 1 1,157.2,1 2 1 2,13.25,1 1 1 1,991.8901,1 1 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,159.8,1 1 1 1,2.2383,1 1 1 1
5/3/2018 15:46,6.2,1 1 1 1,5.336,1 1 1 1,166.6,1 2 1 2,13.23,1 1 1 1,991.7703,1 1 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,168.15,1 1 1 1,2.3552,1 1 1 1
5/3/2018 16:01,8.2,1 1 1 1,6.564,1 1 1 1,182.4,1 2 1 2,14.1,1 1 1 1,992.1629,1 1 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,161.78,1 1 1 1,2.2659,1 1 1 1
5/3/2018 16:16,8.2,1 1 1 1,6.569,1 1 1 1,196.2,1 2 1 2,14.5,1 1 1 1,992.395,1 1 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,143.77,1 1 1 3,2.0137,1 1 1 3
5/3/2018 16:31,8.4,1 1 1 1,6.207,1 1 1 1,202.6,1 2 1 2,14.78,1 1 1 1,992.5062,1 1 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,164.26,1 1 1 1,2.3008,1 1 1 1
5/3/2018 16:46,10.2,1 1 1 1,7.194,1 1 1 1,204.6,1 2 1 2,15.11,1 1 1 1,992.4493,1 1 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,170.61,1 1 1 1,2.3897,1 1 1 1
5/3/2018 17:01,11.8,1 1 1 1,7.505,1 1 1 1,209.9,1 2 1 2,15.31,1 1 1 1,992.3703,1 1 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,172.44,1 1 1 1,2.4154,1 1 1 1
5/3/2018 17:16,9.4,1 1 1 1,6.938,1 1 1 1,204.3,1 2 1 2,15.38,1 1 1 1,992.2505,1 1 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,168.13,1 1 1 1,2.355,1 1 1 1
5/3/2018 17:31,10.5,1 1 1 1,7.552,1 1 1 1,207.4,1 2 1 2,15.59,1 1 1 1,992.2321,1 1 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,160.15,1 1 1 1,2.2432,1 1 1 1
5/3/2018 17:46,11.7,1 1 1 1,8.46,1 1 1 1,208,1 2 1 2,15.82,1 1 1 1,992.2432,1 1 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,NAN,NAN NAN 1 1,160.33,1 1 1 1,2.2458,1 1 1 1
