timestamp,wind_speed_max,wind_speed_max_flags,wind_speed_mean,wind_speed_mean_flags,wind_direction_mean,wind_direction_mean_flags,air_temp,air_temp_flags,barometric_pressure,barometric_pressure_flags,depth,depth_flags,water_temperature,water_temperature_flags,specific_conductivity,specific_conductivity_flags,pH,pH_flags,turbidity,turbidity_flags,organic_dissolved_oxygen_saturation,organic_dissolved_oxygen_saturation_flags,organic_dissolved_oxygen,organic_dissolved_oxygen_flags,chlorophylla,chlorophylla_flags,phycocyanin,phycocyanin_flags,flourescent_dissolved_organic_matter,flourescent_dissolved_organic_matter_flags,NO3M_suna,NO3M_suna_flags,NO3_suna,NO3_suna_flags
5/20/2016 20:01,7.8,1 1 1 1,5.787,1 1 1 1,70.88,1 2 1 2,13.73,1 1 3 1,1020.674,1 1 1 1,1.19,1 1 1 1,14.58,1 1 4 1,319.1,1 1 4 1,8.75,1 1 4 1,0.35,1 1 4 1,112.2,1 1 4 1,11.4,1 1 4 1,0.4,1 1 4 1,0.18,1 1 4 1,1.17,1 1 4 1,72.11,1 1 1 1,1.0101,1 1 1 1
5/20/2016 20:16,6.9,1 1 1 1,5.727,1 1 1 1,71.16,1 2 1 2,13.74,1 1 3 1,1020.442,1 1 1 1,1.19,1 1 1 1,14.58,1 1 4 1,319.1,1 1 4 1,8.75,1 1 4 1,0.35,1 1 4 1,112.2,1 1 4 1,11.4,1 1 4 1,0.4,1 1 4 1,0.18,1 1 4 1,1.17,1 1 4 1,72.13,1 1 1 1,1.0104,1 1 1 1
5/20/2016 20:31,6.6,1 1 1 1,5.314,1 1 1 1,75.51,1 2 1 2,13.54,1 1 1 1,1020.522,1 1 1 1,1.19,1 1 1 1,14.58,1 1 4 1,319.1,1 1 4 1,8.75,1 1 4 1,0.35,1 1 4 1,112.2,1 1 4 1,11.4,1 1 4 1,0.4,1 1 4 1,0.18,1 1 4 1,1.17,1 1 4 1,72.31,1 1 1 1,1.0129,1 1 1 1
5/20/2016 20:46,7.4,1 1 1 1,5.624,1 1 1 1,78.95,1 2 1 2,13.42,1 1 1 1,1020.455,1 1 1 1,1.19,1 1 1 1,14.58,1 1 4 1,319.1,1 1 4 1,8.75,1 1 4 1,0.35,1 1 4 1,112.2,1 1 4 1,11.4,1 1 4 1,0.4,1 1 4 1,0.18,1 1 4 1,1.17,1 1 4 1,72.48,1 1 1 1,1.0152,1 1 1 1
5/20/2016 21:01,7.2,1 1 1 1,5.879,1 1 1 1,78.92,1 2 1 2,13.45,1 1 1 1,1020.234,1 1 1 1,1.19,1 1 1 1,14.58,1 1 4 1,319.1,1 1 4 1,8.75,1 1 4 1,0.35,1 1 4 1,112.2,1 1 4 1,11.4,1 1 4 1,0.4,1 1 4 1,0.18,1 1 4 1,1.17,1 1 4 1,72.55,1 1 1 1,1.0162,1 1 1 1
5/20/2016 21:16,7.4,1 1 1 1,5.424,1 1 1 1,80.3,1 2 1 2,13.66,1 1 1 1,1020.289,1 1 1 1,1.19,1 1 1 1,14.58,1 1 4 1,319.1,1 1 4 1,8.75,1 1 4 1,0.35,1 1 4 1,112.2,1 1 4 1,11.4,1 1 4 1,0.4,1 1 4 1,0.18,1 1 4 1,1.17,1 1 4 1,72.88,1 1 1 1,1.0208,1 1 1 1
5/20/2016 21:31,8.3,1 1 1 1,5.727,1 1 1 1,81.8,1 2 1 2,13.54,1 1 1 1,1020.134,1 1 1 1,1.19,1 1 1 1,14.58,1 1 4 1,319.1,1 1 4 1,8.75,1 1 4 1,0.35,1 1 4 1,112.2,1 1 4 1,11.4,1 1 4 1,0.4,1 1 4 1,0.18,1 1 4 1,1.17,1 1 4 1,73.36,1 1 1 1,1.0275,1 1 1 1
5/20/2016 21:46,6.9,1 1 1 1,5.499,1 1 1 1,81.9,1 2 1 2,13.44,1 1 1 1,1019.991,1 1 1 1,1.19,1 1 1 1,14.58,1 1 4 1,319.1,1 1 4 1,8.75,1 1 4 1,0.35,1 1 4 1,112.2,1 1 4 1,11.4,1 1 4 1,0.4,1 1 4 1,0.18,1 1 4 1,1.17,1 1 4 1,73.84,1 1 1 1,1.0343,1 1 1 1
5/20/2016 22:01,7.5,1 1 1 1,5.649,1 1 1 1,82.3,1 2 1 2,13.41,1 1 1 1,1019.823,1 1 1 1,1.19,1 1 1 1,14.58,1 1 4 1,319.1,1 1 4 1,8.75,1 1 4 1,0.35,1 1 4 1,112.2,1 1 4 1,11.4,1 1 4 1,0.4,1 1 4 1,0.18,1 1 4 1,1.17,1 1 4 1,74.36,1 1 1 1,1.0416,1 1 1 1
5/20/2016 22:16,7.1,1 1 1 1,5.532,1 1 3 1,80.7,1 2 1 2,13.38,1 1 1 1,1019.653,1 1 1 1,1.19,1 1 1 1,14.58,1 1 4 1,319.1,1 1 4 1,8.75,1 1 4 1,0.35,1 1 4 1,112.2,1 1 4 1,11.4,1 1 4 1,0.4,1 1 4 1,0.18,1 1 4 1,1.17,1 1 4 1,74.81,1 1 1 1,1.0479,1 1 1 1
5/20/2016 22:31,7.7,1 1 1 1,5.674,1 1 3 1,79.27,1 2 1 2,13.32,1 1 1 1,1019.491,1 1 1 1,1.19,1 1 1 1,14.58,1 1 4 1,319.1,1 1 4 1,8.75,1 1 4 1,0.35,1 1 4 1,112.2,1 1 4 1,11.4,1 1 4 1,0.4,1 1 4 1,0.18,1 1 4 1,1.17,1 1 4 1,75.26,1 1 1 1,1.0541,1 1 1 1
5/20/2016 22:46,7.6,1 1 1 1,5.579,1 1 3 1,81.9,1 2 1 2,13.31,1 1 1 1,1019.295,1 1 1 1,1.19,1 1 1 1,14.58,1 1 4 1,319.1,1 1 4 1,8.75,1 1 4 1,0.35,1 1 4 1,112.2,1 1 4 1,11.4,1 1 4 1,0.4,1 1 4 1,0.18,1 1 4 1,1.17,1 1 4 1,75.29,1 1 1 1,1.0546,1 1 1 1
5/20/2016 23:01,7.3,1 1 1 1,5.696,1 1 1 1,84.4,1 2 1 2,13.39,1 1 1 1,1019.087,1 1 1 1,1.19,1 1 1 1,14.58,1 1 4 1,319.1,1 1 4 1,8.75,1 1 4 1,0.35,1 1 4 1,112.2,1 1 4 1,11.4,1 1 4 1,0.4,1 1 4 1,0.18,1 1 4 1,1.17,1 1 4 1,75.56,1 1 1 1,1.0584,1 1 1 1
5/20/2016 23:16,7.3,1 1 1 1,5.76,1 1 1 1,87.4,1 2 1 2,13.5,1 1 1 1,1018.967,1 1 1 1,1.19,1 1 1 1,14.58,1 1 4 1,319.1,1 1 4 1,8.75,1 1 4 1,0.35,1 1 4 1,112.2,1 1 4 1,11.4,1 1 4 1,0.4,1 1 4 1,0.18,1 1 4 1,1.17,1 1 4 1,75.8,1 1 1 1,1.0618,1 1 1 1
5/20/2016 23:31,8,1 1 1 1,6.032,1 1 1 1,88.9,1 2 1 2,13.38,1 1 1 1,1018.819,1 1 1 1,1.19,1 1 1 1,14.58,1 1 4 1,319.1,1 1 4 1,8.75,1 1 4 1,0.35,1 1 4 1,112.2,1 1 4 1,11.4,1 1 4 1,0.4,1 1 4 1,0.18,1 1 4 1,1.17,1 1 4 1,75.8,1 1 1 1,1.0616,1 1 1 1
5/20/2016 23:46,7.1,1 1 1 1,5.76,1 1 1 1,86.4,1 2 1 2,13.31,1 1 1 1,1018.777,1 1 1 1,1.19,1 1 1 1,14.58,1 1 4 1,319.1,1 1 4 1,8.75,1 1 4 1,0.35,1 1 4 1,112.2,1 1 4 1,11.4,1 1 4 1,0.4,1 1 4 1,0.18,1 1 4 1,1.17,1 1 4 1,76.2,1 1 1 1,1.0673,1 1 1 1
5/21/2016 0:01,7.8,1 1 1 1,5.99,1 1 1 1,86.2,1 2 1 2,13.28,1 1 1 1,1018.738,1 1 1 1,1.19,1 1 1 1,14.58,1 1 1 1,319.1,1 1 1 1,8.75,1 1 1 1,0.35,1 1 1 1,112.2,1 1 1 1,11.4,1 1 1 1,0.4,1 1 1 1,0.18,1 1 1 1,1.17,1 1 1 1,76.65,1 1 1 1,1.0736,1 1 1 1
5/21/2016 0:16,8.5,1 1 1 1,6.2,1 1 1 1,84.8,1 2 1 2,13.24,1 1 1 1,1018.649,1 1 1 1,1.19,1 1 1 1,14.58,1 1 4 1,319.1,1 1 4 1,8.75,1 1 4 1,0.35,1 1 4 1,112.2,1 1 4 1,11.4,1 1 4 1,0.4,1 1 4 1,0.18,1 1 4 1,1.17,1 1 4 1,77.13,1 1 1 1,1.0804,1 1 1 1
5/21/2016 0:31,7.4,1 1 1 1,5.797,1 1 1 1,83.9,1 2 1 2,13.2,1 1 4 1,1018.573,1 1 1 1,1.19,1 1 1 1,14.58,1 1 4 1,319.1,1 1 4 1,8.75,1 1 4 1,0.35,1 1 4 1,112.2,1 1 4 1,11.4,1 1 4 1,0.4,1 1 4 1,0.18,1 1 4 1,1.17,1 1 4 1,76.94,1 1 1 1,1.0777,1 1 1 1
5/21/2016 0:46,8,1 1 1 1,6.036,1 1 1 1,79.3,1 2 1 2,13.18,1 1 4 1,1018.582,1 1 1 1,1.19,1 1 1 1,14.58,1 1 4 1,319.1,1 1 4 1,8.75,1 1 4 1,0.35,1 1 4 1,112.2,1 1 4 1,11.4,1 1 4 1,0.4,1 1 4 1,0.18,1 1 4 1,1.17,1 1 4 1,77,1 1 1 1,1.0785,1 1 1 1
5/21/2016 1:01,7.9,1 1 1 1,5.987,1 1 1 1,83.9,1 2 1 2,13.2,1 1 4 1,1018.674,1 1 1 1,1.19,1 1 1 1,14.58,1 1 4 1,319.1,1 1 4 1,8.75,1 1 4 1,0.35,1 1 4 1,112.2,1 1 4 1,11.4,1 1 4 1,0.4,1 1 4 1,0.18,1 1 4 1,1.17,1 1 4 1,78.32,1 1 1 1,1.097,1 1 1 1
5/21/2016 1:16,7.6,1 1 1 1,5.903,1 1 1 1,81.7,1 2 1 2,13.21,1 1 4 1,1018.611,1 1 1 1,1.19,1 1 1 1,14.58,1 1 4 1,319.1,1 1 4 1,8.75,1 1 4 1,0.35,1 1 4 1,112.2,1 1 4 1,11.4,1 1 4 1,0.4,1 1 4 1,0.18,1 1 4 1,1.17,1 1 4 1,79.39,1 1 1 1,1.112,1 1 1 1
5/21/2016 1:31,7.9,1 1 1 1,5.882,1 1 1 1,82.6,1 2 1 2,13.22,1 1 4 1,1018.607,1 1 1 1,1.19,1 1 1 1,14.58,1 1 4 1,319.1,1 1 4 1,8.75,1 1 4 1,0.35,1 1 4 1,112.2,1 1 4 1,11.4,1 1 4 1,0.4,1 1 4 1,0.18,1 1 4 1,1.17,1 1 4 1,79.08,1 1 1 1,1.1076,1 1 1 1
5/21/2016 1:46,6.8,1 1 1 1,5.507,1 1 1 1,85.9,1 2 1 2,13.26,1 1 1 1,1018.668,1 1 1 1,1.19,1 1 1 1,14.58,1 1 4 1,319.1,1 1 4 1,8.75,1 1 4 1,0.35,1 1 4 1,112.2,1 1 4 1,11.4,1 1 4 1,0.4,1 1 4 1,0.18,1 1 4 1,1.17,1 1 4 1,78.56,1 1 1 1,1.1004,1 1 1 1
5/21/2016 2:01,7.2,1 1 1 1,5.504,1 1 1 1,93.7,1 2 1 2,13.31,1 1 3 1,1018.709,1 1 1 1,1.19,1 1 1 1,14.58,1 1 4 1,319.1,1 1 4 1,8.75,1 1 4 1,0.35,1 1 4 1,112.2,1 1 4 1,11.4,1 1 4 1,0.4,1 1 4 1,0.18,1 1 4 1,1.17,1 1 4 1,79.35,1 1 1 1,1.1115,1 1 1 1
5/21/2016 2:16,7.5,1 1 1 1,5.672,1 1 1 1,104.2,1 2 1 2,13.29,1 1 3 1,1018.873,1 1 1 1,1.19,1 1 1 1,14.58,1 1 4 1,319.1,1 1 4 1,8.75,1 1 4 1,0.35,1 1 4 1,112.2,1 1 4 1,11.4,1 1 4 1,0.4,1 1 4 1,0.18,1 1 4 1,1.17,1 1 4 1,80.84,1 1 1 1,1.1323,1 1 1 1
5/21/2016 2:31,6.6,1 1 1 1,5.298,1 1 1 1,109.2,1 2 1 2,13.3,1 1 3 1,1018.949,1 1 1 1,1.19,1 1 1 1,14.58,1 1 4 1,319.1,1 1 4 1,8.75,1 1 4 1,0.35,1 1 4 1,112.2,1 1 4 1,11.4,1 1 4 1,0.4,1 1 4 1,0.18,1 1 4 1,1.17,1 1 4 1,82.03,1 1 1 1,1.1489,1 1 1 1
5/21/2016 2:46,6.7,1 1 1 1,5.041,1 1 1 1,113.5,1 2 1 2,13.26,1 1 1 1,1018.969,1 1 1 1,1.19,1 1 1 1,14.58,1 1 4 1,319.1,1 1 4 1,8.75,1 1 4 1,0.35,1 1 4 1,112.2,1 1 4 1,11.4,1 1 4 1,0.4,1 1 4 1,0.18,1 1 4 1,1.17,1 1 4 1,81.98,1 1 1 1,1.1483,1 1 1 1
5/21/2016 3:01,6.7,1 1 1 1,5.044,1 1 1 1,112.6,1 2 1 2,13.19,1 1 1 1,1019.086,1 1 1 1,1.19,1 1 1 1,14.58,1 1 4 1,319.1,1 1 4 1,8.75,1 1 4 1,0.35,1 1 4 1,112.2,1 1 4 1,11.4,1 1 4 1,0.4,1 1 4 1,0.18,1 1 4 1,1.17,1 1 4 1,82.12,1 1 1 1,1.1502,1 1 1 1
5/21/2016 3:16,6.2,1 1 1 1,5.011,1 1 1 1,113.1,1 2 1 2,13.21,1 1 1 1,1018.988,1 1 1 1,1.19,1 1 1 1,14.58,1 1 4 1,319.1,1 1 4 1,8.75,1 1 4 1,0.35,1 1 4 1,112.2,1 1 4 1,11.4,1 1 4 1,0.4,1 1 4 1,0.18,1 1 4 1,1.17,1 1 4 1,82.35,1 1 1 1,1.1535,1 1 1 1
5/21/2016 3:31,6.2,1 1 1 1,4.728,1 1 1 1,112,1 2 1 2,13.42,1 1 1 1,1018.89,1 1 1 1,1.19,1 1 1 1,14.58,1 1 4 1,319.1,1 1 4 1,8.75,1 1 4 1,0.35,1 1 4 1,112.2,1 1 4 1,11.4,1 1 4 1,0.4,1 1 4 1,0.18,1 1 4 1,1.17,1 1 4 1,81.99,1 1 1 1,1.1484,1 1 1 1
5/21/2016 3:46,5.2,1 1 1 1,3.844,1 1 1 1,114.2,1 2 1 2,13.44,1 1 1 1,1018.819,1 1 3 1,1.19,1 1 1 1,14.58,1 1 4 1,319.1,1 1 4 1,8.75,1 1 4 1,0.35,1 1 4 1,112.2,1 1 4 1,11.4,1 1 4 1,0.4,1 1 4 1,0.18,1 1 4 1,1.17,1 1 4 1,81.99,1 1 1 1,1.1484,1 1 1 1
5/21/2016 4:01,4.4,1 1 1 1,3.298,1 1 1 1,128.3,1 2 1 2,13.44,1 1 1 1,1018.819,1 1 3 1,1.19,1 1 1 1,14.58,1 1 4 1,319.1,1 1 4 1,8.75,1 1 4 1,0.35,1 1 4 1,112.2,1 1 4 1,11.4,1 1 4 1,0.4,1 1 4 1,0.18,1 1 4 1,1.17,1 1 4 1,81.99,1 1 1 1,1.1484,1 1 1 1
5/21/2016 4:16,4.9,1 1 1 1,3.363,1 1 1 1,134.3,1 2 1 2,13.36,1 1 1 1,1018.864,1 1 3 1,1.19,1 1 1 1,14.58,1 1 4 1,319.1,1 1 4 1,8.75,1 1 4 1,0.35,1 1 4 1,112.2,1 1 4 1,11.4,1 1 4 1,0.4,1 1 4 1,0.18,1 1 4 1,1.17,1 1 4 1,81.43,1 1 1 1,1.1406,1 1 1 1
5/21/2016 4:31,4.4,1 1 1 1,2.929,1 1 1 1,120.9,1 2 1 2,13.31,1 1 1 1,1018.858,1 1 3 1,1.19,1 1 1 1,14.58,1 1 4 1,319.1,1 1 4 1,8.75,1 1 4 1,0.35,1 1 4 1,112.2,1 1 4 1,11.4,1 1 4 1,0.4,1 1 4 1,0.18,1 1 4 1,1.17,1 1 4 1,82.44,1 1 1 1,1.1547,1 1 1 1
5/21/2016 4:46,4,1 1 1 1,2.847,1 1 1 1,101.5,1 2 1 2,13.29,1 1 1 1,1018.819,1 1 3 1,1.19,1 1 1 1,14.58,1 1 4 1,319.1,1 1 4 1,8.75,1 1 4 1,0.35,1 1 4 1,112.2,1 1 4 1,11.4,1 1 4 1,0.4,1 1 4 1,0.18,1 1 4 1,1.17,1 1 4 1,81.75,1 1 1 1,1.145,1 1 1 1
5/21/2016 5:01,5,1 1 1 1,3.698,1 1 1 1,103.4,1 2 1 2,13.11,1 1 1 1,1018.71,1 1 1 1,1.19,1 1 1 1,14.58,1 1 4 1,319.1,1 1 4 1,8.75,1 1 4 1,0.35,1 1 4 1,112.2,1 1 4 1,11.4,1 1 4 1,0.4,1 1 4 1,0.18,1 1 4 1,1.17,1 1 4 1,81.55,1 1 1 1,1.1422,1 1 1 1
5/21/2016 5:16,6,1 1 1 1,4.262,1 1 1 1,116.6,1 2 1 2,12.84,1 1 1 1,1018.55,1 1 1 1,1.19,1 1 1 1,14.58,1 1 4 1,319.1,1 1 4 1,8.75,1 1 4 1,0.35,1 1 4 1,112.2,1 1 4 1,11.4,1 1 4 1,0.4,1 1 4 1,0.18,1 1 4 1,1.17,1 1 4 1,78.81,1 1 1 1,1.1039,1 1 1 1
5/21/2016 5:31,5.7,1 1 1 1,4.286,1 1 1 1,111.3,1 2 1 2,12.6,1 1 1 1,1018.316,1 1 1 1,1.19,1 1 1 1,14.58,1 1 4 1,319.1,1 1 4 1,8.75,1 1 4 1,0.35,1 1 4 1,112.2,1 1 4 1,11.4,1 1 4 1,0.4,1 1 4 1,0.18,1 1 4 1,1.17,1 1 4 1,79.13,1 1 1 1,1.1084,1 1 1 1
5/21/2016 5:46,4.2,1 1 1 1,3.38,1 1 1 1,111.3,1 2 1 2,12.67,1 1 3 1,1017.98,1 1 1 1,1.19,1 1 1 1,14.58,1 1 4 1,319.1,1 1 4 1,8.75,1 1 4 1,0.35,1 1 4 1,112.2,1 1 4 1,11.4,1 1 4 1,0.4,1 1 4 1,0.18,1 1 4 1,1.17,1 1 4 1,81.73,1 1 1 1,1.1448,1 1 1 1
5/21/2016 6:01,4.7,1 1 1 1,3.623,1 1 1 1,103.8,1 2 1 2,12.65,1 1 3 1,1017.737,1 1 1 1,1.19,1 1 1 1,14.58,1 1 4 1,319.1,1 1 4 1,8.75,1 1 4 1,0.35,1 1 4 1,112.2,1 1 4 1,11.4,1 1 4 1,0.4,1 1 4 1,0.18,1 1 4 1,1.17,1 1 4 1,79.83,1 1 1 1,1.1182,1 1 1 1
5/21/2016 6:16,4.8,1 1 1 1,3.573,1 1 1 1,82.8,1 2 1 2,12.63,1 1 3 1,1017.467,1 1 1 1,1.19,1 1 1 1,14.58,1 1 4 1,319.1,1 1 4 1,8.75,1 1 4 1,0.35,1 1 4 1,112.2,1 1 4 1,11.4,1 1 4 1,0.4,1 1 4 1,0.18,1 1 4 1,1.17,1 1 4 1,79.26,1 1 1 1,1.1101,1 1 1 1
5/21/2016 6:31,5.5,1 1 1 1,3.996,1 1 1 1,63.06,1 2 1 2,12.61,1 1 1 1,1017.284,1 1 1 1,1.19,1 1 1 1,14.58,1 1 4 1,319.1,1 1 4 1,8.75,1 1 4 1,0.35,1 1 4 1,112.2,1 1 4 1,11.4,1 1 4 1,0.4,1 1 4 1,0.18,1 1 4 1,1.17,1 1 4 1,78.15,1 1 1 1,1.0947,1 1 1 1
5/21/2016 6:46,5.2,1 1 1 1,4.062,1 1 1 1,66.96,1 2 1 2,12.59,1 1 1 1,1017.093,1 1 1 1,1.19,1 1 1 1,14.58,1 1 4 1,319.1,1 1 4 1,8.75,1 1 4 1,0.35,1 1 4 1,112.2,1 1 4 1,11.4,1 1 4 1,0.4,1 1 4 1,0.18,1 1 4 1,1.17,1 1 4 1,80.71,1 1 1 1,1.1305,1 1 1 1
5/21/2016 7:01,4.1,1 1 1 1,2.35,1 1 1 1,95.9,1 2 1 2,12.95,1 1 1 1,1016.989,1 1 1 1,1.19,1 1 1 1,14.58,1 1 4 1,319.1,1 1 4 1,8.75,1 1 4 1,0.35,1 1 4 1,112.2,1 1 4 1,11.4,1 1 4 1,0.4,1 1 4 1,0.18,1 1 4 1,1.17,1 1 4 1,80.49,1 1 1 1,1.1274,1 1 1 1
5/21/2016 7:16,2,1 1 1 1,0.952,1 1 1 1,23.66,1 2 1 2,13.37,1 1 1 1,1016.93,1 1 1 1,1.19,1 1 1 1,14.58,1 1 4 1,319.1,1 1 4 1,8.75,1 1 4 1,0.35,1 1 4 1,112.2,1 1 4 1,11.4,1 1 4 1,0.4,1 1 4 1,0.18,1 1 4 1,1.17,1 1 4 1,79.96,1 1 1 1,1.1199,1 1 1 1
5/21/2016 7:31,6,1 1 1 1,2.557,1 1 1 1,347.8,1 2 1 2,13.28,1 1 1 1,1016.933,1 1 1 1,1.19,1 1 1 1,14.58,1 1 4 1,319.1,1 1 4 1,8.75,1 1 4 1,0.35,1 1 4 1,112.2,1 1 4 1,11.4,1 1 4 1,0.4,1 1 4 1,0.18,1 1 4 1,1.17,1 1 4 1,83,1 1 1 1,1.1626,1 1 1 1
