timestamp,wind_speed_max,wind_speed_max_flags,wind_speed_mean,wind_speed_mean_flags,wind_direction_mean,wind_direction_mean_flags,air_temp,air_temp_flags,barometric_pressure,barometric_pressure_flags,depth,depth_flags,water_temperature,water_temperature_flags,specific_conductivity,specific_conductivity_flags,pH,pH_flags,turbidity,turbidity_flags,organic_dissolved_oxygen_saturation,organic_dissolved_oxygen_saturation_flags,organic_dissolved_oxygen,organic_dissolved_oxygen_flags,chlorophylla,chlorophylla_flags,phycocyanin,phycocyanin_flags,flourescent_dissolved_organic_matter,flourescent_dissolved_organic_matter_flags,NO3M_suna,NO3M_suna_flags,NO3_suna,NO3_suna_flags
UTC,meters per second,NAN,meters per second,NAN,degrees,NAN,degrees Celsius,NAN,mbar,NAN,meters,NAN,degrees Celsius,NAN,millisiemens per centimeter,NAN,pH,NAN,NTU,NAN,%,NAN,milligrams per liter,NAN,RFU,NAN,RFU,NAN,RFU,NAN,micromoles per liter,NAN,milligrams per liter,NAN
data logger,Airmar WS-200WX,NAN,Airmar WS-200WX,NAN,Airmar WS-200WX,NAN,Airmar WS-200WX,NAN,Airmar WS-200WX,NAN,YSI EXO2,NAN,YSI EXO2,NAN,YSI EXO2,NAN,YSI EXO2,NAN,YSI EXO2,NAN,YSI EXO2,NAN,YSI EXO2,NAN,YSI EXO2,NAN,YSI EXO2,NAN,YSI EXO2,NAN,Seabird/Satlantic Suna V2,NAN,Seabird/Satlantic Suna V2,NAN
5/20/2016 17:01,6.5,1 1 1 1,4.888,1 1 1 1,70.86,1 2 1 2,13.85,1 1 1 1,1023.26,1 1 1 1,1.21,1 1 1 1,14.41,1 1 1 1,318.6,1 1 1 1,8.72,1 1 1 1,0.175,1 1 1 1,110.2,1 1 1 1,11.25,1 1 1 1,0.379,1 1 1 1,0.152,1 1 1 1,1.104,1 1 1 1,69.3,1 1 1 1,0.9706,1 1 1 1
5/20/2016 17:16,6.8,1 1 1 1,5.579,1 1 1 1,76.84,1 2 1 2,13.63,1 1 1 1,1023.08,1 1 1 1,1.207,1 1 1 1,14.52,1 1 1 1,317.1,1 1 1 1,8.71,1 1 1 1,0.12,1 1 1 1,110.3,1 1 1 1,11.22,1 1 1 1,0.317,1 1 1 1,0.145,1 1 1 1,0.996,1 1 1 1,69.95,1 1 1 1,0.9798,1 1 1 1
5/20/2016 17:31,7.8,1 1 1 1,5.88,1 1 1 1,77.08,1 2 1 2,13.52,1 1 1 1,1022.804,1 1 1 1,1.2,1 1 1 1,14.54,1 1 1 1,317.5,1 1 1 1,8.72,1 1 1 1,0.214,1 1 1 1,110.8,1 1 1 1,11.27,1 1 1 1,0.283,1 1 1 1,0.139,1 1 1 1,1.06,1 1 1 1,70.56,1 1 1 1,0.9884,1 1 1 1
5/20/2016 17:46,7.6,1 1 1 1,5.782,1 1 1 1,77,1 2 1 2,13.49,1 1 1 1,1022.584,1 1 1 1,1.2,1 1 1 1,14.53,1 1 1 1,318.4,1 1 1 1,8.73,1 1 1 1,0.31,1 1 1 1,111.1,1 1 1 1,11.31,1 1 1 1,0.298,1 1 1 1,0.138,1 1 1 1,1.111,1 1 1 1,71.55,1 1 1 1,1.0021,1 1 1 1
5/20/2016 18:01,6.8,1 1 1 1,5.556,1 1 1 1,78.51,1 2 1 2,13.42,1 1 1 1,1022.204,1 1 1 1,1.197,1 1 1 1,14.54,1 1 1 1,318.7,1 1 1 1,8.74,1 1 1 1,0.344,1 1 1 1,111.7,1 1 1 1,11.36,1 1 1 1,0.373,1 1 1 1,0.169,1 1 1 1,1.151,1 1 1 1,72.14,1 1 1 1,1.0104,1 1 1 1
5/20/2016 18:16,7.5,1 1 1 1,6.19,1 1 1 1,79.01,1 2 1 2,13.31,1 1 1 1,1021.979,1 1 1 1,1.19,1 1 1 1,14.56,1 1 1 1,318.9,1 1 1 1,8.75,1 1 1 1,0.396,1 1 1 1,112.2,1 1 1 1,11.41,1 1 1 1,0.479,1 1 1 1,0.178,1 1 1 1,1.167,1 1 1 1,72.2,1 1 1 1,1.0113,1 1 1 1
5/20/2016 18:31,7.8,1 1 1 1,5.949,1 1 1 1,80.5,1 2 1 2,13.42,1 1 1 1,1021.84,1 1 1 1,1.189,1 1 1 1,14.57,1 1 1 1,319,1 1 1 1,8.75,1 1 4 1,0.422,1 1 1 1,112.3,1 1 1 1,11.41,1 1 1 1,0.453,1 1 1 1,0.177,1 1 4 1,1.193,1 1 1 1,71.95,1 1 1 1,1.0078,1 1 1 1
5/20/2016 18:46,7.9,1 1 1 1,5.97,1 1 1 1,77.25,1 2 1 2,13.55,1 1 1 1,1021.514,1 1 1 1,1.19,1 1 1 1,14.58,1 1 1 1,319.1,1 1 1 1,8.75,1 1 4 1,0.35,1 1 1 1,112.2,1 1 1 1,11.4,1 1 1 1,0.4,1 1 1 1,0.18,1 1 4 1,1.17,1 1 1 1,71.97,1 1 1 1,1.008,1 1 1 1
5/20/2016 19:01,8.1,1 1 1 1,6.066,1 1 1 1,74.71,1 2 1 2,13.51,1 1 1 1,1021.257,1 1 1 1,1.19,1 1 1 1,14.58,1 1 4 1,319.1,1 1 4 1,8.75,1 1 4 1,0.35,1 1 4 1,112.2,1 1 4 1,11.4,1 1 4 1,0.4,1 1 4 1,0.18,1 1 4 1,1.17,1 1 4 1,72.19,1 1 1 1,1.0111,1 1 1 1
5/20/2016 19:16,7.7,1 1 1 1,6.183,1 1 1 1,73.95,1 2 1 2,13.64,1 1 1 1,1021.119,1 1 1 1,1.19,1 1 1 1,14.58,1 1 4 1,319.1,1 1 4 1,8.75,1 1 4 1,0.35,1 1 4 1,112.2,1 1 4 1,11.4,1 1 4 1,0.4,1 1 4 1,0.18,1 1 4 1,1.17,1 1 4 1,71.95,1 1 1 1,1.0078,1 1 1 1
5/20/2016 19:31,8,1 1 1 1,6.219,1 1 1 1,77.1,1 2 1 2,13.73,1 1 1 1,1021.107,1 1 1 1,1.19,1 1 1 1,14.58,1 1 4 1,319.1,1 1 4 1,8.75,1 1 4 1,0.35,1 1 4 1,112.2,1 1 4 1,11.4,1 1 4 1,0.4,1 1 4 1,0.18,1 1 4 1,1.17,1 1 4 1,72.01,1 1 1 1,1.0086,1 1 1 1
5/20/2016 19:46,7.3,1 1 1 1,5.687,1 1 1 1,77.47,1 2 1 2,13.79,1 1 3 1,1021.037,1 1 1 1,1.19,1 1 1 1,14.58,1 1 4 1,319.1,1 1 4 1,8.75,1 1 4 1,0.35,1 1 4 1,112.2,1 1 4 1,11.4,1 1 4 1,0.4,1 1 4 1,0.18,1 1 4 1,1.17,1 1 4 1,72.1,1 1 1 1,1.0098,1 1 1 1
