timestamp,wind_speed_max,wind_speed_max_flags,wind_speed_mean,wind_speed_mean_flags,wind_direction_mean,wind_direction_mean_flags,air_temp,air_temp_flags,barometric_pressure,barometric_pressure_flags,depth,depth_flags,water_temperature,water_temperature_flags,specific_conductivity,specific_conductivity_flags,ph,ph_mV,turbidity,turbidity_flags,organic_dissolved_oxygen_saturation,organic_dissolved_oxygen,organic_dissolved_oxygen,organic_dissolved_oxygen_flags,chlorophylla,chlorophylla_flags,phycocyanin,phycocyanin_flags,flourescent_dissolved_organic_matter,flourescent_dissolved_organic_matter_flags
UTC,meters per second,NAN,meters per second,NAN,degrees,NAN,degrees Celsius,NAN,mbar,NAN,meters,NAN,degrees Celsius,NAN,millisiemens per centimeter,NAN,NAN,millivolts,NTU,NAN,%,milligrams per liter,milligrams per liter,NAN,RFU,NAN,RFU,NAN,RFU,NAN
data logger,Airmar WS-200WX,NAN,Airmar WS-200WX,NAN,Airmar WS-200WX,NAN,Airmar WS-200WX,NAN,Airmar WS-200WX,NAN,YSI EXO2,NAN,YSI EXO2,NAN,YSI EXO2,NAN,YSI EXO2,YSI EXO2,YSI EXO2,NAN,YSI EXO2,YSI EXO2,YSI EXO2,NAN,YSI EXO2,NAN,YSI EXO2,NAN,YSI EXO2,NAN
7/30/2015 21:01,10.2,1 1 1 1,7.769,1 1 1 1,272.9,1 2 1 2,26.7,1 1 1 1,1013.881,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/30/2015 21:16,10.3,1 1 1 1,7.799,1 1 1 1,265.7,1 2 1 2,26.73,1 1 1 1,1014.14,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/30/2015 21:31,10,1 1 1 1,8.04,1 1 1 1,270.1,1 2 1 2,26.72,1 1 1 1,1014.271,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/30/2015 21:46,10,1 1 1 1,7.814,1 1 1 1,274.7,1 2 1 2,26.75,1 1 1 1,1014.24,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/30/2015 22:01,11.1,1 1 1 1,8.6,1 1 1 1,276,1 2 1 2,26.8,1 1 1 1,1014.157,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/30/2015 22:16,10.9,1 1 1 1,8.55,1 1 1 1,275.3,1 2 1 2,26.85,1 1 1 1,1014.077,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/30/2015 22:31,11.1,1 1 1 1,8.81,1 1 1 1,275.1,1 2 1 2,26.88,1 1 1 1,1013.989,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/30/2015 22:46,11.6,1 1 1 1,9.02,1 1 1 1,277.4,1 2 1 2,26.85,1 1 1 1,1013.866,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/30/2015 23:01,11.7,1 1 1 1,9.34,1 1 1 1,281.4,1 2 1 2,26.76,1 1 1 1,1013.826,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/30/2015 23:16,11.7,1 1 1 1,8.9,1 1 1 1,284.3,1 2 1 2,26.74,1 1 1 1,1013.859,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/30/2015 23:31,12.7,1 1 1 1,9.36,1 1 1 1,280.9,1 2 1 2,26.62,1 1 1 1,1013.784,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/30/2015 23:46,11.6,1 1 1 1,9.31,1 1 1 1,281.1,1 2 1 2,26.54,1 1 1 1,1013.778,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 0:01,10.4,1 1 1 1,8.28,1 1 1 1,284,1 2 1 2,26.44,1 1 1 1,1013.691,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 0:16,11.9,1 1 1 1,9.17,1 1 1 1,284.2,1 2 1 2,26.31,1 1 1 1,1013.777,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 0:31,11.7,1 1 1 1,9.25,1 1 1 1,286.9,1 2 1 2,26.2,1 1 1 1,1014.119,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 0:46,11.6,1 1 1 1,9.12,1 1 1 1,288.6,1 2 1 2,26.08,1 1 1 1,1014.469,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 1:01,11.4,1 1 1 1,8.34,1 1 1 1,286.7,1 2 1 2,25.89,1 1 1 1,1014.392,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
