timestamp,wind_speed_max,wind_speed_max_flags,wind_speed_mean,wind_speed_mean_flags,wind_direction_mean,wind_direction_mean_flags,air_temp,air_temp_flags,barometric_pressure,barometric_pressure_flags,depth,depth_flags,water_temperature,water_temperature_flags,specific_conductivity,specific_conductivity_flags,ph,ph_mV,turbidity,turbidity_flags,organic_dissolved_oxygen_saturation,organic_dissolved_oxygen,organic_dissolved_oxygen,organic_dissolved_oxygen_flags,chlorophylla,chlorophylla_flags,phycocyanin,phycocyanin_flags,flourescent_dissolved_organic_matter,flourescent_dissolved_organic_matter_flags
7/31/2015 1:16,10.3,1 1 1 1,8.09,1 1 1 1,283.8,1 2 1 2,25.72,1 1 1 1,1014.291,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 1:31,10.3,1 1 1 1,7.431,1 1 1 1,281.6,1 2 1 2,25.61,1 1 1 1,1014.134,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 1:46,9.1,1 1 1 1,7.369,1 1 1 1,283,1 2 1 2,25.54,1 1 1 1,1014.249,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 2:01,9.4,1 1 1 1,7.363,1 1 1 1,279.5,1 2 1 2,25.43,1 1 1 1,1014.609,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 2:16,9,1 1 1 1,7.04,1 1 1 1,275.4,1 2 1 2,25.38,1 1 1 1,1014.787,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 2:31,9.1,1 1 1 1,6.681,1 1 1 1,271,1 2 1 2,25.36,1 1 1 1,1014.721,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 2:46,9.9,1 1 1 1,7.117,1 1 1 1,277.1,1 2 1 2,25.23,1 1 1 1,1014.477,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 3:01,10.4,1 1 1 1,7.542,1 1 1 1,274.6,1 2 1 2,25.21,1 1 1 1,1014.373,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 3:16,9.4,1 1 1 1,7.604,1 1 1 1,267.1,1 2 1 2,25.2,1 1 1 1,1014.541,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 3:31,9,1 1 1 1,6.814,1 1 1 1,261.6,1 2 1 2,25.16,1 1 1 1,1014.532,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 3:46,8.8,1 1 1 1,6.636,1 1 1 1,249.6,1 2 1 2,24.99,1 1 1 1,1014.536,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 4:01,8.3,1 1 1 1,6.202,1 1 1 1,244.9,1 2 1 2,24.68,1 1 1 1,1014.403,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 4:16,9.3,1 1 1 1,6.679,1 1 1 1,248.2,1 2 1 2,24.48,1 1 1 1,1014.163,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 4:31,8.8,1 1 1 1,7.168,1 1 1 1,249,1 2 1 2,24.39,1 1 1 1,1014.292,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 4:46,8.6,1 1 1 1,7.12,1 1 1 1,248.8,1 2 1 2,24.31,1 1 1 1,1014.526,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 5:01,8.2,1 1 1 1,6.54,1 1 1 1,254,1 2 1 2,24.25,1 1 1 1,1014.553,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 5:16,8,1 1 1 1,6.654,1 1 1 1,250.4,1 2 1 2,24.19,1 1 1 1,1014.556,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 5:31,9.1,1 1 1 1,7.304,1 1 1 1,253,1 2 1 2,24.07,1 1 1 1,1014.484,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 5:46,9.2,1 1 1 1,7.533,1 1 1 1,249.6,1 2 1 2,23.87,1 1 1 1,1014.389,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 6:01,9,1 1 1 1,7.359,1 1 1 1,246.4,1 2 1 2,23.66,1 1 1 1,1014.218,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 6:16,9.5,1 1 1 1,8.01,1 1 1 1,247.4,1 2 1 2,23.53,1 1 1 1,1014.279,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 6:31,9.4,1 1 1 1,7.654,1 1 1 1,246.9,1 2 1 2,23.48,1 1 1 1,1014.1,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 6:46,9.7,1 1 1 1,7.82,1 1 1 1,249.9,1 2 1 2,23.34,1 1 1 1,1013.844,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 7:01,10.4,1 1 1 1,8.25,1 1 1 1,253.7,1 2 1 2,23.4,1 1 1 1,1013.624,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 7:16,10.8,1 1 1 1,8.16,1 1 1 1,254.7,1 2 1 2,23.49,1 1 1 1,1013.634,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 7:31,9.3,1 1 1 1,7.798,1 1 1 1,251.8,1 2 1 2,23.56,1 1 1 1,1013.666,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 7:46,9.2,1 1 1 1,6.004,1 1 1 3,251,1 2 1 2,23.67,1 1 1 1,1013.419,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 8:01,10.5,1 1 1 1,8.47,1 1 1 1,263.5,1 2 1 2,23.89,1 1 1 1,1013.692,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 8:16,11.3,1 1 1 1,9.17,1 1 1 1,259.9,1 2 1 2,23.75,1 1 1 1,1013.631,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 8:31,10.8,1 1 1 1,9.01,1 1 1 1,255.3,1 2 1 2,23.64,1 1 1 1,1013.611,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 8:46,11.1,1 1 1 1,8.77,1 1 1 1,256.8,1 2 1 2,23.58,1 1 1 1,1013.554,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 9:01,11.2,1 1 1 1,8.67,1 1 1 1,264.2,1 2 1 2,23.54,1 1 1 1,1013.404,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 9:16,11.4,1 1 1 1,8.3,1 1 1 1,262.7,1 2 1 2,23.53,1 1 1 1,1013.267,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 9:31,11,1 1 1 1,8.61,1 1 1 1,270.4,1 2 1 2,23.59,1 1 1 1,1013.263,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 9:46,11.9,1 1 1 1,9.36,1 1 1 1,273.8,1 2 1 2,23.51,1 1 1 1,1013.274,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 10:01,12.1,1 1 1 1,9.6,1 1 1 1,272.3,1 2 1 2,23.3,1 1 1 1,1013.494,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 10:16,10.9,1 1 1 1,8.37,1 1 1 1,271,1 2 1 2,23.03,1 1 1 1,1013.687,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 10:31,10.8,1 1 1 1,8.55,1 1 1 1,272.5,1 2 1 2,22.89,1 1 1 1,1013.699,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 10:46,10.3,1 1 1 1,8.59,1 1 1 1,273.2,1 2 1 2,22.84,1 1 1 1,1013.776,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 11:01,10.6,1 1 1 1,8.39,1 1 1 1,267.4,1 2 1 2,22.93,1 1 1 1,1013.838,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 11:16,9.2,1 1 1 1,7.62,1 1 1 1,271.2,1 2 1 2,23.12,1 1 1 1,1013.712,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 11:31,9.5,1 1 1 1,8.03,1 1 1 1,271.5,1 2 1 2,23.35,1 1 1 1,1013.761,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 11:46,9.5,1 1 1 1,7.968,1 1 1 1,266.9,1 2 1 2,23.41,1 1 1 1,1013.883,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 12:01,9.6,1 1 1 1,7.94,1 1 1 1,267.6,1 2 1 2,23.41,1 1 3 1,1013.943,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 12:16,10.2,1 1 1 1,7.91,1 1 1 1,274.2,1 2 1 2,23.35,1 1 3 1,1013.913,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 12:31,9.3,1 1 1 1,7.312,1 1 1 1,275.6,1 2 1 2,23.38,1 1 3 1,1013.833,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 12:46,9.3,1 1 1 1,6.397,1 1 1 1,267.4,1 2 1 2,23.48,1 1 1 1,1013.799,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 13:01,8.4,1 1 1 1,6.364,1 1 1 1,267.1,1 2 1 2,23.53,1 1 1 1,1013.898,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 13:16,8.2,1 1 1 1,6.39,1 1 1 1,267.5,1 2 1 2,23.73,1 1 1 1,1013.929,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 13:31,7.7,1 1 1 1,6.104,1 1 1 1,260.1,1 2 1 2,23.86,1 1 1 1,1014.302,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 13:46,9.4,1 1 1 1,6.813,1 1 1 1,262,1 2 1 2,23.86,1 1 1 1,1014.295,1 1 3 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 14:01,8.5,1 1 1 1,7.104,1 1 1 1,262.8,1 2 1 2,24.11,1 1 1 1,1014.269,1 1 3 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 14:16,8.7,1 1 1 1,7.044,1 1 1 1,259.9,1 2 1 2,24.3,1 1 1 1,1014.305,1 1 3 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 14:31,8.1,1 1 1 1,6.76,1 1 1 1,261,1 2 1 2,24.51,1 1 1 1,1014.147,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 14:46,8.1,1 1 1 1,6.658,1 1 1 1,257.7,1 2 1 2,24.81,1 1 1 1,1014.104,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 15:01,8.2,1 1 1 1,6.617,1 1 1 1,250.8,1 2 1 2,25.09,1 1 1 1,1014.241,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 15:16,7.9,1 1 1 1,6.374,1 1 1 1,249.9,1 2 1 2,25.39,1 1 1 1,1014.326,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 15:31,8,1 1 1 1,6.516,1 1 1 1,256.3,1 2 1 2,25.73,1 1 1 1,1013.963,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 15:46,8.4,1 1 1 1,6.711,1 1 1 1,256.7,1 2 1 2,25.93,1 1 1 1,1013.771,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 16:01,7.7,1 1 1 1,6.228,1 1 1 1,255.8,1 2 1 2,26.06,1 1 1 1,1013.702,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 16:16,7.6,1 1 1 1,6.042,1 1 1 1,251.6,1 2 1 2,26.2,1 1 1 1,1013.695,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 16:31,7.7,1 1 1 1,5.794,1 1 1 1,252.1,1 2 1 2,26.41,1 1 1 1,1013.352,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 16:46,7.9,1 1 1 1,6.246,1 1 1 1,254.9,1 2 1 2,26.54,1 1 1 1,1013.241,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 17:01,9.1,1 1 1 1,7.077,1 1 1 1,254.8,1 2 1 2,26.51,1 1 1 1,1013.24,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 17:16,10.2,1 1 1 1,7.671,1 1 1 1,261.7,1 2 1 2,26.57,1 1 1 1,1013.173,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 17:31,10.1,1 1 1 1,7.912,1 1 1 1,264.5,1 2 1 2,26.63,1 1 1 1,1013.059,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 17:46,9.8,1 1 1 1,7.858,1 1 1 1,266,1 2 1 2,26.69,1 1 1 1,1012.909,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 18:01,9.4,1 1 1 1,7.658,1 1 1 1,263.6,1 2 1 2,26.75,1 1 1 1,1012.489,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7/31/2015 18:16,8.9,1 1 1 1,7.134,1 1 1 1,262.3,1 2 1 2,26.86,1 1 1 1,1012.317,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
