timestamp,wind_speed_max,wind_speed_max_flags,wind_speed_mean,wind_speed_mean_flags,wind_direction_mean,wind_direction_mean_flags,air_temp,air_temp_flags,barometric_pressure,barometric_pressure_flags,water_temperature,water_temperature_flags,specific_conductivity,specific_conductivity_flags,depth,depth_flags,turbidity,turbidity_flags,chlorophylla,chlorophylla_flags,turbidity_c6,turbidity_c6_flags,phycoerythrin_c6,phycoerythrin_c6_flags,phycocyanin_c6,phycocyanin_c6_flags,chlorophylla_c6,chlorophylla_c6_flags,colored_dissolved_organic_matter_c6,colored_dissolved_organic_matter_c6_flags,depth_c6,depth_c6_flags,water_temperature_c6,water_temperature_c6_flags
UTC,meters per second,NAN,meters per second,NAN,degrees,NAN,degrees Celsius,NAN,mbar,NAN,degrees Celsius,NAN,millisiemens per centimeter,NAN,meters,NAN,NTU,NAN,RFU,NAN,NTU,NAN,RFU,NAN,RFU,NAN,RFU,NAN,ppb,NAN,meter,NAN,degrees Celsius,NAN
data logger,Airmar WS-200WX,NAN,Airmar WS-200WX,NAN,Airmar WS-200WX,NAN,Airmar WS-200WX,NAN,Airmar WS-200WX,NAN,YSI EXO2,NAN,YSI EXO2,NAN,YSI EXO2,NAN,YSI EXO2,NAN,YSI EXO2,NAN,Turner C-6,NAN,Turner C-6,NAN,Turner C-6,NAN,Turner C-6,NAN,Turner C-6,NAN,Turner C-6,NAN,Turner C-6,NAN
8/1/2014 21:01,5.7,1 1 1 1,4.423,1 1 1 1,245.8,1 2 1 2,22.7,1 1 1 1,1017.849,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0,1 3 1 1,0,1 3 1 1,0,1 3 1 1,0,1 3 1 1,0,1 3 1 1,0,1 2 2 2,0,1 2 2 2
8/1/2014 21:16,7.2,1 1 1 1,4.702,1 1 1 1,209,1 2 1 2,21.74,1 1 1 3,1017.698,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,7.69,1 1 1 1,363.92,1 1 1 1,403.44,1 1 1 1,334.04,1 1 1 1,191.2,1 1 1 1,0.89,1 2 2 2,23.91,1 2 2 2
8/1/2014 21:31,6.9,1 1 1 1,5.029,1 1 1 3,148.2,1 2 1 2,22.79,1 1 1 1,1017.684,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,9.08,1 1 1 1,363.4,1 1 1 1,324.76,1 1 1 1,288.88,1 1 1 1,191.24,1 1 1 1,0.89,1 2 2 2,23.92,1 2 2 2
8/1/2014 21:46,3.8,1 1 1 1,1.827,1 1 1 1,57.73,1 2 1 2,24.59,1 1 1 1,1017.42,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,10.12,1 1 1 1,364.12,1 1 1 1,554.56,1 1 1 1,323.28,1 1 1 1,191.92,1 1 1 1,0.83,1 2 2 2,23.94,1 2 2 2
8/1/2014 22:01,2.8,1 1 1 1,1.322,1 1 1 1,73.32,1 2 1 2,25.41,1 1 1 1,1017.264,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,9.29,1 1 1 1,452.32,1 1 1 1,500.2,1 1 1 1,318.2,1 1 1 1,191.84,1 1 1 1,0.89,1 2 2 2,23.99,1 2 2 2
8/1/2014 22:16,2.9,1 1 1 1,1.982,1 1 1 1,62.35,1 2 1 2,25.77,1 1 1 3,1017.389,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,10.84,1 1 1 1,437.44,1 1 1 1,325.08,1 1 1 1,360.52,1 1 1 1,195.04,1 1 1 1,0.89,1 2 2 2,23.98,1 2 2 2
8/1/2014 22:31,3.3,1 1 1 1,2.16,1 1 1 1,357.2,1 2 1 2,24.03,1 1 1 1,1017.409,1 1 3 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,9.27,1 1 1 1,513.64,1 1 1 1,382.52,1 1 1 1,347.64,1 1 1 1,195.04,1 1 1 1,0.96,1 2 2 2,24.01,1 2 2 2
8/1/2014 22:46,2.2,1 1 1 1,1.738,1 1 1 1,350.8,1 2 1 2,23.7,1 1 1 1,1017.358,1 1 3 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,9.34,1 1 1 1,423.64,1 1 1 1,526.84,1 1 1 1,431.44,1 1 1 1,191.72,1 1 1 1,0.83,1 2 2 2,24,1 2 2 2
