timestamp,wind_speed_max,wind_speed_max_flags,wind_speed_mean,wind_speed_mean_flags,wind_direction_mean,wind_direction_mean_flags,air_temp,air_temp_flags,barometric_pressure,barometric_pressure_flags,water_temperature,water_temperature_flags,specific_conductivity,specific_conductivity_flags,depth,depth_flags,turbidity,turbidity_flags,chlorophylla,chlorophylla_flags,turbidity_c6,turbidity_c6_flags,phycoerythrin_c6,phycoerythrin_c6_flags,phycocyanin_c6,phycocyanin_c6_flags,chlorophylla_c6,chlorophylla_c6_flags,colored_dissolved_organic_matter_c6,colored_dissolved_organic_matter_c6_flags,depth_c6,depth_c6_flags,water_temperature_c6,water_temperature_c6_flags
UTC,meters per second,NAN,meters per second,NAN,degrees,NAN,degrees Celsius,NAN,mbar,NAN,degrees Celsius,NAN,millisiemens per centimeter,NAN,meters,NAN,NTU,NAN,RFU,NAN,NTU,NAN,RFU,NAN,RFU,NAN,RFU,NAN,ppb,NAN,meter,NAN,degrees Celsius,NAN
data logger,Airmar WS-200WX,NAN,Airmar WS-200WX,NAN,Airmar WS-200WX,NAN,Airmar WS-200WX,NAN,Airmar WS-200WX,NAN,YSI 6600v2,NAN,YSI 6600v2,NAN,YSI 6600v2,NAN,YSI 6600v2,NAN,YSI 6600v2,NAN,Turner C-6,NAN,Turner C-6,NAN,Turner C-6,NAN,Turner C-6,NAN,Turner C-6,NAN,Turner C-6,NAN,Turner C-6,NAN
7/22/2014 3:01,6.5,1 1 1 1,5.156,1 1 1 1,98.3,1 2 1 2,26.2,1 1 1 1,998.3055,1 1 1 1,24.76,1 1 1 1,310.2,1 1 1 1,0.917,1 1 1 1,-7.946,4 3 1 1,1.449,1 1 1 1,3.94,1 1 1 1,202.68,1 1 1 1,22.36,1 1 1 1,350.04,1 1 1 1,500.4,1 1 1 1,0.55,1 2 2 2,25.14,1 2 2 2
7/22/2014 3:16,6.9,1 1 1 1,5.257,1 1 1 1,93.2,1 2 1 2,26.19,1 1 1 1,998.3566,1 1 1 1,24.75,1 1 1 1,310.1,1 1 1 1,0.919,1 1 1 1,-8.07,4 3 1 1,1.18,1 1 1 1,2.79,1 1 1 1,210.04,1 1 1 1,31.8,1 1 1 1,380.52,1 1 1 1,493.2,1 1 1 1,0.55,1 2 2 2,25.14,1 2 2 2
7/22/2014 3:31,6.5,1 1 1 1,5.394,1 1 1 1,97.6,1 2 1 2,26.08,1 1 1 1,998.3932,1 1 1 1,24.74,1 1 1 1,310,1 1 1 1,0.92,1 1 1 1,-7.944,4 3 1 1,1.271,1 1 1 1,2.67,1 1 1 1,204.28,1 1 1 1,28.72,1 1 1 1,345.84,1 1 1 1,498.4,1 1 1 1,0.62,1 2 2 2,25.13,1 2 2 2
7/22/2014 3:46,6.4,1 1 1 1,4.618,1 1 1 1,96.5,1 2 1 2,26.05,1 1 1 1,998.4344,1 1 1 1,24.73,1 1 1 1,310,1 1 1 1,0.92,1 1 1 1,-8.06,4 3 1 1,1.429,1 1 1 1,2.73,1 1 1 1,190.24,1 1 1 1,38.52,1 1 1 1,377.56,1 1 1 1,495.2,1 1 1 1,0.55,1 2 2 2,25.12,1 2 2 2
7/22/2014 4:01,6.4,1 1 1 1,4.836,1 1 1 1,100,1 2 1 2,25.9,1 1 1 1,998.4077,1 1 1 1,24.72,1 1 1 1,310,1 1 1 1,0.92,1 1 1 1,-7.684,4 3 1 1,1.428,1 1 1 1,2.87,1 1 1 1,230.64,1 1 1 1,24.12,1 1 1 1,360.88,1 1 1 1,502,1 1 1 1,0.62,1 2 2 2,25.11,1 2 2 2
7/22/2014 4:16,6.9,1 1 1 1,5.018,1 1 1 1,101.7,1 2 1 2,25.59,1 1 1 1,998.3855,1 1 3 1,24.7,1 1 1 1,309.9,1 1 1 1,0.919,1 1 1 1,-7.801,4 3 1 1,1.334,1 1 1 1,2.89,1 1 1 1,225.68,1 1 1 1,35.4,1 1 1 1,422.8,1 1 1 1,498.8,1 1 1 1,0.62,1 2 2 2,25.09,1 2 2 2
7/22/2014 4:31,6.8,1 1 1 1,4.851,1 1 1 1,104.5,1 2 1 2,25.39,1 1 1 1,998.4077,1 1 3 1,24.68,1 1 1 1,309.9,1 1 3 1,0.921,1 1 1 1,-7.677,4 3 1 1,1.314,1 1 1 1,2.14,1 1 1 1,210.12,1 1 1 1,25.56,1 1 1 1,355.68,1 1 1 1,499.2,1 1 1 1,0.62,1 2 2 2,25.07,1 2 2 2
7/22/2014 4:46,6.6,1 1 1 1,5.009,1 1 1 1,110.9,1 2 1 2,25.13,1 1 1 1,998.3955,1 1 3 1,24.66,1 1 1 1,309.9,1 1 3 1,0.921,1 1 1 1,-7.723,4 3 1 1,3.219,1 1 1 4,3.04,1 1 1 1,198.92,1 1 1 1,22,1 1 1 1,357.76,1 1 1 1,505.2,1 1 1 1,0.55,1 2 2 2,25.04,1 2 2 2
7/22/2014 5:01,6.8,1 1 1 1,5.174,1 1 1 1,110.3,1 2 1 2,24.96,1 1 1 1,998.4355,1 1 1 1,24.64,1 1 1 1,309.9,1 1 3 1,0.92,1 1 1 1,-7.826,4 3 1 1,31.38,1 3 1 3,4.11,1 1 1 1,204,1 1 1 1,39.92,1 1 1 1,362.76,1 1 1 1,503.6,1 1 1 1,0.62,1 2 2 2,25.02,1 2 2 2
7/22/2014 5:16,6.3,1 1 1 1,4.937,1 1 1 1,112,1 2 1 2,24.7,1 1 1 1,998.4811,1 1 1 1,24.61,1 1 1 1,310,1 1 1 1,0.922,1 1 1 1,-7.834,4 3 1 1,42.4,1 3 1 4,3.01,1 1 1 1,194.16,1 1 1 1,26.36,1 1 1 1,379.44,1 1 1 1,511.2,1 1 1 1,0.62,1 2 2 2,24.99,1 2 2 2
